identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constAdditionOf23_100.st;1.74;0.19;0:02.28;84%;(0avgtext+0avgdata 107572maxresident)k;13856inputs+272outputs;(1major+18457minor)pagefaults;0swaps
smteta_constAdditionOf23_10.st;1.02;0.06;0:00.57;191%;(0avgtext+0avgdata 85284maxresident)k;16inputs+80outputs;(0major+11989minor)pagefaults;0swaps
smteta_constAdditionOf23_11.st;0.97;0.05;0:00.49;208%;(0avgtext+0avgdata 84248maxresident)k;16inputs+80outputs;(0major+12475minor)pagefaults;0swaps
smteta_constAdditionOf23_12.st;0.95;0.06;0:00.51;199%;(0avgtext+0avgdata 83312maxresident)k;16inputs+80outputs;(0major+12043minor)pagefaults;0swaps
smteta_constAdditionOf23_13.st;0.90;0.07;0:00.49;197%;(0avgtext+0avgdata 81544maxresident)k;16inputs+88outputs;(0major+12456minor)pagefaults;0swaps
smteta_constAdditionOf23_14.st;0.95;0.05;0:00.50;200%;(0avgtext+0avgdata 83220maxresident)k;16inputs+88outputs;(0major+11366minor)pagefaults;0swaps
smteta_constAdditionOf23_15.st;0.92;0.06;0:00.50;197%;(0avgtext+0avgdata 83140maxresident)k;16inputs+88outputs;(0major+12380minor)pagefaults;0swaps
smteta_constAdditionOf23_16.st;0.91;0.05;0:00.49;196%;(0avgtext+0avgdata 82432maxresident)k;16inputs+88outputs;(0major+12197minor)pagefaults;0swaps
smteta_constAdditionOf23_17.st;0.94;0.05;0:00.51;195%;(0avgtext+0avgdata 80820maxresident)k;16inputs+88outputs;(0major+11811minor)pagefaults;0swaps
smteta_constAdditionOf23_18.st;0.95;0.04;0:00.50;197%;(0avgtext+0avgdata 83584maxresident)k;16inputs+88outputs;(0major+12001minor)pagefaults;0swaps
smteta_constAdditionOf23_19.st;0.97;0.02;0:00.50;198%;(0avgtext+0avgdata 84724maxresident)k;16inputs+88outputs;(0major+11719minor)pagefaults;0swaps
smteta_constAdditionOf23_1.st;0.80;0.04;0:00.44;191%;(0avgtext+0avgdata 81304maxresident)k;16inputs+72outputs;(0major+11455minor)pagefaults;0swaps
smteta_constAdditionOf23_20.st;1.03;0.04;0:00.51;210%;(0avgtext+0avgdata 86928maxresident)k;16inputs+88outputs;(0major+12554minor)pagefaults;0swaps
smteta_constAdditionOf23_21.st;0.90;0.09;0:00.52;191%;(0avgtext+0avgdata 85284maxresident)k;16inputs+96outputs;(0major+11399minor)pagefaults;0swaps
smteta_constAdditionOf23_22.st;1.05;0.03;0:00.54;200%;(0avgtext+0avgdata 83952maxresident)k;16inputs+96outputs;(0major+12111minor)pagefaults;0swaps
smteta_constAdditionOf23_23.st;1.00;0.06;0:00.52;204%;(0avgtext+0avgdata 87656maxresident)k;16inputs+96outputs;(0major+12026minor)pagefaults;0swaps
smteta_constAdditionOf23_24.st;1.01;0.06;0:00.50;215%;(0avgtext+0avgdata 84056maxresident)k;16inputs+96outputs;(0major+12225minor)pagefaults;0swaps
smteta_constAdditionOf23_25.st;1.01;0.05;0:00.51;208%;(0avgtext+0avgdata 85424maxresident)k;16inputs+96outputs;(0major+11922minor)pagefaults;0swaps
smteta_constAdditionOf23_26.st;1.05;0.02;0:00.50;213%;(0avgtext+0avgdata 79800maxresident)k;16inputs+96outputs;(0major+12601minor)pagefaults;0swaps
smteta_constAdditionOf23_27.st;1.01;0.07;0:00.50;216%;(0avgtext+0avgdata 85992maxresident)k;16inputs+96outputs;(0major+12040minor)pagefaults;0swaps
smteta_constAdditionOf23_28.st;1.06;0.08;0:00.50;227%;(0avgtext+0avgdata 84556maxresident)k;16inputs+96outputs;(0major+12793minor)pagefaults;0swaps
smteta_constAdditionOf23_29.st;0.97;0.07;0:00.49;211%;(0avgtext+0avgdata 82944maxresident)k;16inputs+136outputs;(0major+12269minor)pagefaults;0swaps
smteta_constAdditionOf23_2.st;0.80;0.05;0:00.47;181%;(0avgtext+0avgdata 82708maxresident)k;16inputs+72outputs;(0major+11799minor)pagefaults;0swaps
smteta_constAdditionOf23_30.st;1.03;0.04;0:00.50;211%;(0avgtext+0avgdata 83764maxresident)k;16inputs+104outputs;(0major+11537minor)pagefaults;0swaps
smteta_constAdditionOf23_31.st;1.01;0.07;0:00.50;215%;(0avgtext+0avgdata 84652maxresident)k;16inputs+104outputs;(0major+12055minor)pagefaults;0swaps
smteta_constAdditionOf23_32.st;1.04;0.07;0:00.53;210%;(0avgtext+0avgdata 86304maxresident)k;16inputs+104outputs;(0major+12620minor)pagefaults;0swaps
smteta_constAdditionOf23_33.st;1.18;0.04;0:00.51;239%;(0avgtext+0avgdata 86812maxresident)k;16inputs+104outputs;(0major+14124minor)pagefaults;0swaps
smteta_constAdditionOf23_34.st;1.06;0.05;0:00.52;213%;(0avgtext+0avgdata 83764maxresident)k;16inputs+104outputs;(0major+12508minor)pagefaults;0swaps
smteta_constAdditionOf23_35.st;1.13;0.06;0:00.53;223%;(0avgtext+0avgdata 88152maxresident)k;16inputs+104outputs;(0major+13009minor)pagefaults;0swaps
smteta_constAdditionOf23_36.st;1.20;0.05;0:00.52;237%;(0avgtext+0avgdata 93176maxresident)k;16inputs+104outputs;(0major+15244minor)pagefaults;0swaps
smteta_constAdditionOf23_37.st;1.22;0.04;0:00.54;234%;(0avgtext+0avgdata 93576maxresident)k;16inputs+112outputs;(0major+15835minor)pagefaults;0swaps
smteta_constAdditionOf23_38.st;1.22;0.04;0:00.54;235%;(0avgtext+0avgdata 95260maxresident)k;16inputs+112outputs;(0major+14795minor)pagefaults;0swaps
smteta_constAdditionOf23_39.st;1.18;0.07;0:00.55;226%;(0avgtext+0avgdata 95544maxresident)k;16inputs+112outputs;(0major+15245minor)pagefaults;0swaps
smteta_constAdditionOf23_3.st;0.81;0.06;0:00.45;193%;(0avgtext+0avgdata 81000maxresident)k;16inputs+72outputs;(0major+11838minor)pagefaults;0swaps
smteta_constAdditionOf23_40.st;1.25;0.03;0:00.54;237%;(0avgtext+0avgdata 90488maxresident)k;16inputs+112outputs;(0major+15538minor)pagefaults;0swaps
smteta_constAdditionOf23_41.st;1.24;0.04;0:00.54;235%;(0avgtext+0avgdata 86664maxresident)k;16inputs+112outputs;(0major+15666minor)pagefaults;0swaps
smteta_constAdditionOf23_42.st;1.15;0.07;0:00.53;228%;(0avgtext+0avgdata 93728maxresident)k;16inputs+144outputs;(0major+14713minor)pagefaults;0swaps
smteta_constAdditionOf23_43.st;1.10;0.03;0:00.55;206%;(0avgtext+0avgdata 87108maxresident)k;16inputs+112outputs;(0major+12376minor)pagefaults;0swaps
smteta_constAdditionOf23_44.st;1.25;0.06;0:00.57;228%;(0avgtext+0avgdata 94488maxresident)k;16inputs+120outputs;(0major+15094minor)pagefaults;0swaps
smteta_constAdditionOf23_45.st;1.27;0.01;0:00.56;227%;(0avgtext+0avgdata 93052maxresident)k;16inputs+120outputs;(0major+15169minor)pagefaults;0swaps
smteta_constAdditionOf23_46.st;1.25;0.05;0:00.56;231%;(0avgtext+0avgdata 96380maxresident)k;16inputs+120outputs;(0major+15047minor)pagefaults;0swaps
smteta_constAdditionOf23_47.st;1.24;0.06;0:00.56;232%;(0avgtext+0avgdata 96108maxresident)k;16inputs+120outputs;(0major+15240minor)pagefaults;0swaps
smteta_constAdditionOf23_48.st;1.22;0.04;0:00.54;234%;(0avgtext+0avgdata 94848maxresident)k;16inputs+120outputs;(0major+15887minor)pagefaults;0swaps
smteta_constAdditionOf23_49.st;1.26;0.08;0:00.56;240%;(0avgtext+0avgdata 104328maxresident)k;16inputs+120outputs;(0major+17814minor)pagefaults;0swaps
smteta_constAdditionOf23_4.st;0.93;0.04;0:00.50;194%;(0avgtext+0avgdata 80860maxresident)k;16inputs+72outputs;(0major+12004minor)pagefaults;0swaps
smteta_constAdditionOf23_50.st;1.21;0.10;0:00.56;235%;(0avgtext+0avgdata 88104maxresident)k;16inputs+120outputs;(0major+15476minor)pagefaults;0swaps
smteta_constAdditionOf23_51.st;1.21;0.05;0:00.55;229%;(0avgtext+0avgdata 103520maxresident)k;16inputs+120outputs;(0major+17490minor)pagefaults;0swaps
smteta_constAdditionOf23_52.st;1.28;0.05;0:00.56;239%;(0avgtext+0avgdata 98936maxresident)k;16inputs+128outputs;(0major+14878minor)pagefaults;0swaps
smteta_constAdditionOf23_53.st;1.15;0.10;0:00.57;220%;(0avgtext+0avgdata 98764maxresident)k;16inputs+128outputs;(0major+15309minor)pagefaults;0swaps
smteta_constAdditionOf23_54.st;1.21;0.06;0:00.55;228%;(0avgtext+0avgdata 98104maxresident)k;16inputs+128outputs;(0major+15823minor)pagefaults;0swaps
smteta_constAdditionOf23_55.st;1.28;0.05;0:00.58;228%;(0avgtext+0avgdata 95352maxresident)k;16inputs+128outputs;(0major+15629minor)pagefaults;0swaps
smteta_constAdditionOf23_56.st;1.26;0.05;0:00.55;236%;(0avgtext+0avgdata 96660maxresident)k;16inputs+128outputs;(0major+14476minor)pagefaults;0swaps
smteta_constAdditionOf23_57.st;1.27;0.06;0:00.57;232%;(0avgtext+0avgdata 101244maxresident)k;16inputs+128outputs;(0major+16186minor)pagefaults;0swaps
