identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constAddition_001.st;0.98;0.06;0:00.91;115%;(0avgtext+0avgdata 78320maxresident)k;13760inputs+72outputs;(0major+11405minor)pagefaults;0swaps
smteta_constAddition_002.st;0.87;0.07;0:00.50;186%;(0avgtext+0avgdata 84364maxresident)k;8inputs+72outputs;(0major+12156minor)pagefaults;0swaps
smteta_constAddition_003.st;0.89;0.03;0:00.45;205%;(0avgtext+0avgdata 82520maxresident)k;8inputs+72outputs;(0major+12316minor)pagefaults;0swaps
smteta_constAddition_004.st;0.79;0.05;0:00.44;190%;(0avgtext+0avgdata 83040maxresident)k;8inputs+72outputs;(0major+11274minor)pagefaults;0swaps
smteta_constAddition_005.st;0.84;0.07;0:00.47;194%;(0avgtext+0avgdata 82544maxresident)k;8inputs+80outputs;(0major+12196minor)pagefaults;0swaps
smteta_constAddition_006.st;0.82;0.06;0:00.45;194%;(0avgtext+0avgdata 82932maxresident)k;8inputs+80outputs;(0major+11855minor)pagefaults;0swaps
smteta_constAddition_007.st;0.94;0.03;0:00.47;203%;(0avgtext+0avgdata 84548maxresident)k;8inputs+80outputs;(0major+11860minor)pagefaults;0swaps
smteta_constAddition_008.st;0.84;0.04;0:00.46;193%;(0avgtext+0avgdata 81708maxresident)k;8inputs+80outputs;(0major+12062minor)pagefaults;0swaps
smteta_constAddition_009.st;0.95;0.08;0:00.51;202%;(0avgtext+0avgdata 84524maxresident)k;8inputs+80outputs;(0major+12414minor)pagefaults;0swaps
smteta_constAddition_010.st;1.00;0.05;0:00.51;206%;(0avgtext+0avgdata 84252maxresident)k;8inputs+80outputs;(0major+11735minor)pagefaults;0swaps
smteta_constAddition_011.st;0.90;0.03;0:00.47;198%;(0avgtext+0avgdata 78068maxresident)k;8inputs+80outputs;(0major+12080minor)pagefaults;0swaps
smteta_constAddition_012.st;1.01;0.02;0:00.49;209%;(0avgtext+0avgdata 82168maxresident)k;8inputs+80outputs;(0major+11681minor)pagefaults;0swaps
smteta_constAddition_013.st;0.97;0.04;0:00.47;213%;(0avgtext+0avgdata 84608maxresident)k;8inputs+88outputs;(0major+12516minor)pagefaults;0swaps
smteta_constAddition_014.st;0.96;0.06;0:00.48;213%;(0avgtext+0avgdata 83340maxresident)k;8inputs+88outputs;(0major+12424minor)pagefaults;0swaps
smteta_constAddition_015.st;0.91;0.04;0:00.47;201%;(0avgtext+0avgdata 80832maxresident)k;8inputs+88outputs;(0major+11915minor)pagefaults;0swaps
smteta_constAddition_016.st;0.92;0.06;0:00.50;198%;(0avgtext+0avgdata 83116maxresident)k;8inputs+88outputs;(0major+11297minor)pagefaults;0swaps
