identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_MinMax_Minimal_0001.gtt;1.18;0.03;0:00.54;224%;(0avgtext+0avgdata 117480maxresident)k;0inputs+80outputs;(0major+21282minor)pagefaults;0swaps
smteta_MinMax_Minimal_0002.gtt;1.15;0.05;0:00.54;224%;(0avgtext+0avgdata 118796maxresident)k;0inputs+80outputs;(0major+21645minor)pagefaults;0swaps
smteta_MinMax_Minimal_0003.gtt;1.16;0.05;0:00.54;224%;(0avgtext+0avgdata 119284maxresident)k;0inputs+80outputs;(0major+22006minor)pagefaults;0swaps
smteta_MinMax_Minimal_0004.gtt;1.10;0.09;0:00.52;225%;(0avgtext+0avgdata 126216maxresident)k;0inputs+80outputs;(0major+23573minor)pagefaults;0swaps
smteta_MinMax_Minimal_0005.gtt;1.17;0.04;0:00.53;229%;(0avgtext+0avgdata 119772maxresident)k;0inputs+80outputs;(0major+22683minor)pagefaults;0swaps
smteta_MinMax_Minimal_0010.gtt;1.15;0.05;0:00.54;223%;(0avgtext+0avgdata 119444maxresident)k;0inputs+80outputs;(0major+22354minor)pagefaults;0swaps
smteta_MinMax_Minimal_0015.gtt;1.16;0.06;0:00.54;226%;(0avgtext+0avgdata 118604maxresident)k;0inputs+80outputs;(0major+21591minor)pagefaults;0swaps
smteta_MinMax_Minimal_0020.gtt;1.14;0.06;0:00.53;224%;(0avgtext+0avgdata 111232maxresident)k;0inputs+112outputs;(0major+19240minor)pagefaults;0swaps
smteta_MinMax_Minimal_0025.gtt;1.15;0.05;0:00.54;223%;(0avgtext+0avgdata 119452maxresident)k;0inputs+80outputs;(0major+21275minor)pagefaults;0swaps
smteta_MinMax_Minimal_0050.gtt;1.16;0.06;0:00.53;229%;(0avgtext+0avgdata 120216maxresident)k;0inputs+80outputs;(0major+22760minor)pagefaults;0swaps
smteta_MinMax_Minimal_0075.gtt;1.15;0.05;0:00.53;223%;(0avgtext+0avgdata 116760maxresident)k;0inputs+80outputs;(0major+21750minor)pagefaults;0swaps
smteta_MinMax_Minimal_0100.gtt;1.17;0.03;0:00.54;225%;(0avgtext+0avgdata 120088maxresident)k;0inputs+80outputs;(0major+22680minor)pagefaults;0swaps
smteta_MinMax_Minimal_0200.gtt;1.16;0.04;0:00.52;227%;(0avgtext+0avgdata 111272maxresident)k;0inputs+80outputs;(0major+19453minor)pagefaults;0swaps
smteta_MinMax_Minimal_0300.gtt;1.14;0.06;0:00.53;225%;(0avgtext+0avgdata 121372maxresident)k;0inputs+80outputs;(0major+21276minor)pagefaults;0swaps
smteta_MinMax_Minimal_0400.gtt;1.18;0.03;0:00.54;224%;(0avgtext+0avgdata 119308maxresident)k;0inputs+80outputs;(0major+21986minor)pagefaults;0swaps
smteta_MinMax_Minimal_0500.gtt;1.16;0.04;0:00.53;226%;(0avgtext+0avgdata 116888maxresident)k;0inputs+80outputs;(0major+20678minor)pagefaults;0swaps
smteta_MinMax_Minimal_1000.gtt;1.15;0.03;0:00.53;222%;(0avgtext+0avgdata 109536maxresident)k;0inputs+80outputs;(0major+20714minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0001.hcc;45.79;0.53;0:15.27;303%;(0avgtext+0avgdata 543140maxresident)k;0inputs+64outputs;(0major+66061minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0002.hcc;44.25;0.55;0:14.63;306%;(0avgtext+0avgdata 528952maxresident)k;0inputs+96outputs;(0major+43113minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0003.hcc;46.35;0.57;0:15.34;305%;(0avgtext+0avgdata 547952maxresident)k;0inputs+64outputs;(0major+72671minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0004.hcc;44.69;0.59;0:14.86;304%;(0avgtext+0avgdata 528704maxresident)k;0inputs+96outputs;(0major+55183minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0005.hcc;49.29;0.49;0:16.30;305%;(0avgtext+0avgdata 545504maxresident)k;0inputs+64outputs;(0major+57413minor)pagefaults;0swaps
