identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_varSubtraction_001.st;1.00;0.07;0:00.71;150%;(0avgtext+0avgdata 86644maxresident)k;0inputs+96outputs;(0major+17711minor)pagefaults;0swaps
nuXmv_varSubtraction_002.st;0.97;0.08;0:00.60;176%;(0avgtext+0avgdata 84976maxresident)k;0inputs+96outputs;(0major+18414minor)pagefaults;0swaps
nuXmv_varSubtraction_003.st;1.03;0.10;0:00.64;176%;(0avgtext+0avgdata 88732maxresident)k;0inputs+96outputs;(0major+19681minor)pagefaults;0swaps
nuXmv_varSubtraction_004.st;1.17;0.06;0:00.72;170%;(0avgtext+0avgdata 83572maxresident)k;0inputs+96outputs;(0major+19755minor)pagefaults;0swaps
nuXmv_varSubtraction_005.st;1.37;0.05;0:00.94;151%;(0avgtext+0avgdata 87368maxresident)k;0inputs+96outputs;(0major+20795minor)pagefaults;0swaps
nuXmv_varSubtraction_006.st;1.72;0.04;0:01.29;136%;(0avgtext+0avgdata 81976maxresident)k;0inputs+128outputs;(0major+21749minor)pagefaults;0swaps
nuXmv_varSubtraction_007.st;2.25;0.05;0:01.81;126%;(0avgtext+0avgdata 86440maxresident)k;0inputs+96outputs;(0major+21538minor)pagefaults;0swaps
nuXmv_varSubtraction_008.st;2.85;0.07;0:02.40;121%;(0avgtext+0avgdata 87308maxresident)k;0inputs+96outputs;(0major+23406minor)pagefaults;0swaps
nuXmv_varSubtraction_009.st;3.56;0.07;0:03.13;116%;(0avgtext+0avgdata 88792maxresident)k;0inputs+96outputs;(0major+25763minor)pagefaults;0swaps
nuXmv_varSubtraction_010.st;4.43;0.06;0:03.97;113%;(0avgtext+0avgdata 85548maxresident)k;0inputs+128outputs;(0major+23974minor)pagefaults;0swaps
nuXmv_varSubtraction_011.st;5.55;0.08;0:05.12;109%;(0avgtext+0avgdata 86028maxresident)k;0inputs+96outputs;(0major+27812minor)pagefaults;0swaps
nuXmv_varSubtraction_012.st;6.01;0.03;0:05.56;108%;(0avgtext+0avgdata 84172maxresident)k;0inputs+96outputs;(0major+28158minor)pagefaults;0swaps
nuXmv_varSubtraction_013.st;7.32;0.05;0:06.83;108%;(0avgtext+0avgdata 87040maxresident)k;0inputs+96outputs;(0major+30201minor)pagefaults;0swaps
nuXmv_varSubtraction_014.st;8.70;0.08;0:08.25;106%;(0avgtext+0avgdata 89072maxresident)k;0inputs+96outputs;(0major+31899minor)pagefaults;0swaps
nuXmv_varSubtraction_015.st;10.00;0.05;0:09.50;105%;(0avgtext+0avgdata 94856maxresident)k;0inputs+136outputs;(0major+31135minor)pagefaults;0swaps
nuXmv_varSubtraction_016.st;10.90;0.06;0:10.42;105%;(0avgtext+0avgdata 106952maxresident)k;0inputs+112outputs;(0major+34493minor)pagefaults;0swaps
