identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constAddition_001.st;0.99;0.08;0:00.98;109%;(0avgtext+0avgdata 80556maxresident)k;13888inputs+72outputs;(0major+12134minor)pagefaults;0swaps
smteta_constAddition_002.st;0.81;0.05;0:00.46;186%;(0avgtext+0avgdata 83336maxresident)k;16inputs+72outputs;(0major+11851minor)pagefaults;0swaps
smteta_constAddition_003.st;0.78;0.07;0:00.43;198%;(0avgtext+0avgdata 82868maxresident)k;16inputs+72outputs;(0major+12288minor)pagefaults;0swaps
smteta_constAddition_004.st;0.81;0.04;0:00.43;196%;(0avgtext+0avgdata 86108maxresident)k;16inputs+72outputs;(0major+12026minor)pagefaults;0swaps
smteta_constAddition_005.st;0.80;0.05;0:00.43;197%;(0avgtext+0avgdata 81088maxresident)k;16inputs+72outputs;(0major+11911minor)pagefaults;0swaps
smteta_constAddition_006.st;0.79;0.04;0:00.44;187%;(0avgtext+0avgdata 82844maxresident)k;16inputs+72outputs;(0major+11331minor)pagefaults;0swaps
smteta_constAddition_007.st;0.81;0.06;0:00.47;184%;(0avgtext+0avgdata 86708maxresident)k;16inputs+72outputs;(0major+12194minor)pagefaults;0swaps
smteta_constAddition_008.st;0.84;0.05;0:00.48;184%;(0avgtext+0avgdata 81904maxresident)k;16inputs+72outputs;(0major+12160minor)pagefaults;0swaps
smteta_constAddition_009.st;0.83;0.05;0:00.45;195%;(0avgtext+0avgdata 83136maxresident)k;16inputs+72outputs;(0major+11585minor)pagefaults;0swaps
smteta_constAddition_010.st;0.88;0.03;0:00.45;201%;(0avgtext+0avgdata 83600maxresident)k;16inputs+72outputs;(0major+11759minor)pagefaults;0swaps
smteta_constAddition_011.st;0.82;0.04;0:00.45;192%;(0avgtext+0avgdata 83132maxresident)k;16inputs+72outputs;(0major+11841minor)pagefaults;0swaps
smteta_constAddition_012.st;0.84;0.04;0:00.45;194%;(0avgtext+0avgdata 78820maxresident)k;16inputs+72outputs;(0major+11298minor)pagefaults;0swaps
smteta_constAddition_013.st;0.90;0.01;0:00.46;198%;(0avgtext+0avgdata 82364maxresident)k;16inputs+80outputs;(0major+12237minor)pagefaults;0swaps
smteta_constAddition_014.st;0.86;0.09;0:00.48;196%;(0avgtext+0avgdata 84172maxresident)k;16inputs+80outputs;(0major+11703minor)pagefaults;0swaps
smteta_constAddition_015.st;0.87;0.05;0:00.45;203%;(0avgtext+0avgdata 81580maxresident)k;16inputs+80outputs;(0major+12189minor)pagefaults;0swaps
smteta_constAddition_016.st;0.88;0.04;0:00.48;193%;(0avgtext+0avgdata 80872maxresident)k;16inputs+80outputs;(0major+12304minor)pagefaults;0swaps
smteta_constAddition_017.st;0.94;0.04;0:00.48;205%;(0avgtext+0avgdata 80632maxresident)k;16inputs+80outputs;(0major+12586minor)pagefaults;0swaps
smteta_constAddition_018.st;0.89;0.08;0:00.50;194%;(0avgtext+0avgdata 81232maxresident)k;16inputs+112outputs;(0major+11934minor)pagefaults;0swaps
smteta_constAddition_019.st;0.89;0.03;0:00.46;200%;(0avgtext+0avgdata 82476maxresident)k;16inputs+80outputs;(0major+12271minor)pagefaults;0swaps
smteta_constAddition_020.st;0.87;0.04;0:00.48;191%;(0avgtext+0avgdata 82888maxresident)k;16inputs+80outputs;(0major+11890minor)pagefaults;0swaps
smteta_constAddition_021.st;0.92;0.04;0:00.48;199%;(0avgtext+0avgdata 83140maxresident)k;16inputs+80outputs;(0major+11927minor)pagefaults;0swaps
smteta_constAddition_022.st;0.94;0.04;0:00.48;204%;(0avgtext+0avgdata 82952maxresident)k;16inputs+80outputs;(0major+11763minor)pagefaults;0swaps
smteta_constAddition_023.st;0.95;0.04;0:00.49;202%;(0avgtext+0avgdata 81884maxresident)k;16inputs+80outputs;(0major+12110minor)pagefaults;0swaps
smteta_constAddition_024.st;0.96;0.05;0:00.48;210%;(0avgtext+0avgdata 84732maxresident)k;16inputs+80outputs;(0major+11988minor)pagefaults;0swaps
smteta_constAddition_025.st;0.90;0.05;0:00.46;205%;(0avgtext+0avgdata 84940maxresident)k;16inputs+80outputs;(0major+12243minor)pagefaults;0swaps
smteta_constAddition_026.st;0.96;0.06;0:00.54;189%;(0avgtext+0avgdata 82536maxresident)k;16inputs+80outputs;(0major+12237minor)pagefaults;0swaps
smteta_constAddition_027.st;0.97;0.06;0:00.49;207%;(0avgtext+0avgdata 85596maxresident)k;16inputs+80outputs;(0major+12723minor)pagefaults;0swaps
smteta_constAddition_028.st;0.92;0.06;0:00.48;202%;(0avgtext+0avgdata 80324maxresident)k;16inputs+88outputs;(0major+11174minor)pagefaults;0swaps
smteta_constAddition_029.st;0.99;0.04;0:00.49;211%;(0avgtext+0avgdata 84740maxresident)k;16inputs+120outputs;(0major+11831minor)pagefaults;0swaps
smteta_constAddition_030.st;0.92;0.06;0:00.49;199%;(0avgtext+0avgdata 84964maxresident)k;16inputs+120outputs;(0major+11811minor)pagefaults;0swaps
smteta_constAddition_031.st;1.00;0.04;0:00.49;211%;(0avgtext+0avgdata 86600maxresident)k;16inputs+88outputs;(0major+12034minor)pagefaults;0swaps
smteta_constAddition_032.st;0.99;0.06;0:00.50;209%;(0avgtext+0avgdata 89492maxresident)k;16inputs+88outputs;(0major+12967minor)pagefaults;0swaps
smteta_constAddition_033.st;1.02;0.06;0:00.49;220%;(0avgtext+0avgdata 85588maxresident)k;16inputs+88outputs;(0major+13154minor)pagefaults;0swaps
smteta_constAddition_034.st;1.05;0.04;0:00.49;220%;(0avgtext+0avgdata 87248maxresident)k;16inputs+88outputs;(0major+11862minor)pagefaults;0swaps
smteta_constAddition_035.st;1.00;0.06;0:00.49;215%;(0avgtext+0avgdata 87056maxresident)k;16inputs+88outputs;(0major+12147minor)pagefaults;0swaps
smteta_constAddition_036.st;1.08;0.06;0:00.53;215%;(0avgtext+0avgdata 91640maxresident)k;16inputs+88outputs;(0major+14672minor)pagefaults;0swaps
smteta_constAddition_037.st;1.10;0.04;0:00.49;230%;(0avgtext+0avgdata 92424maxresident)k;16inputs+88outputs;(0major+15270minor)pagefaults;0swaps
smteta_constAddition_038.st;1.05;0.05;0:00.50;217%;(0avgtext+0avgdata 95912maxresident)k;16inputs+88outputs;(0major+15041minor)pagefaults;0swaps
smteta_constAddition_039.st;1.11;0.05;0:00.55;211%;(0avgtext+0avgdata 87108maxresident)k;16inputs+88outputs;(0major+15038minor)pagefaults;0swaps
smteta_constAddition_040.st;1.13;0.03;0:00.51;229%;(0avgtext+0avgdata 87232maxresident)k;16inputs+120outputs;(0major+16010minor)pagefaults;0swaps
smteta_constAddition_041.st;1.05;0.05;0:00.49;224%;(0avgtext+0avgdata 92344maxresident)k;16inputs+88outputs;(0major+14242minor)pagefaults;0swaps
smteta_constAddition_042.st;1.06;0.06;0:00.49;225%;(0avgtext+0avgdata 92212maxresident)k;16inputs+88outputs;(0major+15368minor)pagefaults;0swaps
smteta_constAddition_043.st;1.12;0.02;0:00.49;233%;(0avgtext+0avgdata 92776maxresident)k;16inputs+96outputs;(0major+15448minor)pagefaults;0swaps
smteta_constAddition_044.st;1.05;0.07;0:00.51;218%;(0avgtext+0avgdata 94060maxresident)k;16inputs+96outputs;(0major+15794minor)pagefaults;0swaps
smteta_constAddition_045.st;1.11;0.05;0:00.50;231%;(0avgtext+0avgdata 92492maxresident)k;16inputs+96outputs;(0major+15234minor)pagefaults;0swaps
smteta_constAddition_046.st;1.12;0.06;0:00.50;233%;(0avgtext+0avgdata 95100maxresident)k;16inputs+96outputs;(0major+16178minor)pagefaults;0swaps
smteta_constAddition_047.st;1.10;0.04;0:00.50;225%;(0avgtext+0avgdata 95136maxresident)k;16inputs+96outputs;(0major+14987minor)pagefaults;0swaps
smteta_constAddition_048.st;1.09;0.08;0:00.50;232%;(0avgtext+0avgdata 96632maxresident)k;16inputs+96outputs;(0major+15611minor)pagefaults;0swaps
smteta_constAddition_049.st;1.13;0.04;0:00.52;228%;(0avgtext+0avgdata 103504maxresident)k;16inputs+96outputs;(0major+18635minor)pagefaults;0swaps
smteta_constAddition_050.st;1.14;0.04;0:00.51;234%;(0avgtext+0avgdata 94100maxresident)k;16inputs+96outputs;(0major+15665minor)pagefaults;0swaps
smteta_constAddition_051.st;1.17;0.05;0:00.52;233%;(0avgtext+0avgdata 106492maxresident)k;16inputs+96outputs;(0major+18181minor)pagefaults;0swaps
smteta_constAddition_052.st;1.14;0.05;0:00.51;231%;(0avgtext+0avgdata 94068maxresident)k;16inputs+96outputs;(0major+15678minor)pagefaults;0swaps
smteta_constAddition_053.st;1.14;0.04;0:00.51;231%;(0avgtext+0avgdata 91092maxresident)k;16inputs+96outputs;(0major+15465minor)pagefaults;0swaps
smteta_constAddition_054.st;1.15;0.04;0:00.51;232%;(0avgtext+0avgdata 102980maxresident)k;16inputs+96outputs;(0major+18460minor)pagefaults;0swaps
smteta_constAddition_055.st;1.13;0.04;0:00.51;228%;(0avgtext+0avgdata 92596maxresident)k;16inputs+96outputs;(0major+15351minor)pagefaults;0swaps
smteta_constAddition_056.st;1.13;0.06;0:00.50;234%;(0avgtext+0avgdata 93348maxresident)k;16inputs+96outputs;(0major+15239minor)pagefaults;0swaps
smteta_constAddition_057.st;1.16;0.05;0:00.52;233%;(0avgtext+0avgdata 96788maxresident)k;16inputs+96outputs;(0major+14859minor)pagefaults;0swaps
smteta_constAddition_058.st;1.10;0.06;0:00.51;227%;(0avgtext+0avgdata 91924maxresident)k;16inputs+96outputs;(0major+14664minor)pagefaults;0swaps
smteta_constAddition_059.st;1.15;0.06;0:00.52;234%;(0avgtext+0avgdata 95584maxresident)k;16inputs+104outputs;(0major+15157minor)pagefaults;0swaps
smteta_constAddition_060.st;1.16;0.08;0:00.55;223%;(0avgtext+0avgdata 91376maxresident)k;16inputs+104outputs;(0major+15186minor)pagefaults;0swaps
smteta_constAddition_061.st;1.14;0.07;0:00.53;230%;(0avgtext+0avgdata 106468maxresident)k;16inputs+104outputs;(0major+18335minor)pagefaults;0swaps
smteta_constAddition_062.st;1.12;0.06;0:00.51;230%;(0avgtext+0avgdata 96528maxresident)k;16inputs+104outputs;(0major+15270minor)pagefaults;0swaps
smteta_constAddition_063.st;1.18;0.08;0:00.53;236%;(0avgtext+0avgdata 102932maxresident)k;16inputs+104outputs;(0major+18287minor)pagefaults;0swaps
smteta_constAddition_064.st;1.15;0.04;0:00.52;230%;(0avgtext+0avgdata 104172maxresident)k;16inputs+104outputs;(0major+18198minor)pagefaults;0swaps
smteta_constAddition_065.st;1.27;0.06;0:00.58;227%;(0avgtext+0avgdata 107136maxresident)k;16inputs+104outputs;(0major+17392minor)pagefaults;0swaps
smteta_constAddition_066.st;1.21;0.07;0:00.51;249%;(0avgtext+0avgdata 95588maxresident)k;16inputs+104outputs;(0major+15219minor)pagefaults;0swaps
smteta_constAddition_067.st;1.27;0.06;0:00.53;249%;(0avgtext+0avgdata 105456maxresident)k;16inputs+104outputs;(0major+18741minor)pagefaults;0swaps
smteta_constAddition_068.st;1.29;0.04;0:00.54;247%;(0avgtext+0avgdata 103212maxresident)k;16inputs+104outputs;(0major+18161minor)pagefaults;0swaps
smteta_constAddition_069.st;1.26;0.07;0:00.53;249%;(0avgtext+0avgdata 104708maxresident)k;16inputs+104outputs;(0major+18686minor)pagefaults;0swaps
smteta_constAddition_070.st;1.28;0.05;0:00.52;252%;(0avgtext+0avgdata 105956maxresident)k;16inputs+104outputs;(0major+18266minor)pagefaults;0swaps
smteta_constAddition_071.st;1.25;0.05;0:00.53;244%;(0avgtext+0avgdata 108828maxresident)k;16inputs+104outputs;(0major+18409minor)pagefaults;0swaps
smteta_constAddition_072.st;1.26;0.06;0:00.53;248%;(0avgtext+0avgdata 109360maxresident)k;16inputs+104outputs;(0major+19761minor)pagefaults;0swaps
smteta_constAddition_073.st;1.29;0.06;0:00.53;251%;(0avgtext+0avgdata 104872maxresident)k;16inputs+104outputs;(0major+18597minor)pagefaults;0swaps
smteta_constAddition_074.st;1.23;0.07;0:00.53;242%;(0avgtext+0avgdata 105432maxresident)k;16inputs+112outputs;(0major+18467minor)pagefaults;0swaps
smteta_constAddition_075.st;1.19;0.08;0:00.54;235%;(0avgtext+0avgdata 105204maxresident)k;16inputs+104outputs;(0major+18683minor)pagefaults;0swaps
smteta_constAddition_076.st;1.23;0.07;0:00.53;243%;(0avgtext+0avgdata 105052maxresident)k;16inputs+112outputs;(0major+18200minor)pagefaults;0swaps
smteta_constAddition_077.st;1.20;0.02;0:00.53;229%;(0avgtext+0avgdata 101200maxresident)k;16inputs+112outputs;(0major+19055minor)pagefaults;0swaps
smteta_constAddition_078.st;1.31;0.03;0:00.53;250%;(0avgtext+0avgdata 109812maxresident)k;16inputs+112outputs;(0major+18605minor)pagefaults;0swaps
smteta_constAddition_079.st;1.34;0.04;0:00.54;257%;(0avgtext+0avgdata 105980maxresident)k;16inputs+112outputs;(0major+19014minor)pagefaults;0swaps
smteta_constAddition_080.st;1.25;0.05;0:00.54;242%;(0avgtext+0avgdata 105420maxresident)k;16inputs+112outputs;(0major+18134minor)pagefaults;0swaps
smteta_constAddition_081.st;1.33;0.07;0:00.54;257%;(0avgtext+0avgdata 109448maxresident)k;16inputs+112outputs;(0major+18897minor)pagefaults;0swaps
smteta_constAddition_082.st;1.32;0.04;0:00.54;251%;(0avgtext+0avgdata 106904maxresident)k;16inputs+112outputs;(0major+18528minor)pagefaults;0swaps
smteta_constAddition_083.st;1.29;0.04;0:00.54;244%;(0avgtext+0avgdata 105028maxresident)k;16inputs+112outputs;(0major+18135minor)pagefaults;0swaps
smteta_constAddition_084.st;1.37;0.04;0:00.55;257%;(0avgtext+0avgdata 108192maxresident)k;16inputs+112outputs;(0major+18334minor)pagefaults;0swaps
smteta_constAddition_085.st;1.32;0.07;0:00.55;254%;(0avgtext+0avgdata 103096maxresident)k;16inputs+112outputs;(0major+18795minor)pagefaults;0swaps
smteta_constAddition_086.st;1.29;0.07;0:00.55;246%;(0avgtext+0avgdata 105560maxresident)k;16inputs+112outputs;(0major+18586minor)pagefaults;0swaps
smteta_constAddition_087.st;1.31;0.05;0:00.55;247%;(0avgtext+0avgdata 102548maxresident)k;16inputs+112outputs;(0major+18726minor)pagefaults;0swaps
smteta_constAddition_088.st;1.33;0.04;0:00.56;245%;(0avgtext+0avgdata 104496maxresident)k;16inputs+144outputs;(0major+17981minor)pagefaults;0swaps
smteta_constAddition_089.st;1.29;0.07;0:00.57;238%;(0avgtext+0avgdata 103712maxresident)k;16inputs+120outputs;(0major+19580minor)pagefaults;0swaps
smteta_constAddition_090.st;1.32;0.06;0:00.55;247%;(0avgtext+0avgdata 105892maxresident)k;16inputs+120outputs;(0major+19090minor)pagefaults;0swaps
smteta_constAddition_091.st;1.24;0.06;0:00.55;236%;(0avgtext+0avgdata 104268maxresident)k;16inputs+120outputs;(0major+17576minor)pagefaults;0swaps
smteta_constAddition_092.st;1.37;0.06;0:00.56;257%;(0avgtext+0avgdata 108592maxresident)k;16inputs+120outputs;(0major+19152minor)pagefaults;0swaps
smteta_constAddition_093.st;1.36;0.04;0:00.56;251%;(0avgtext+0avgdata 107092maxresident)k;16inputs+120outputs;(0major+19012minor)pagefaults;0swaps
smteta_constAddition_094.st;1.32;0.06;0:00.56;246%;(0avgtext+0avgdata 99272maxresident)k;16inputs+120outputs;(0major+19028minor)pagefaults;0swaps
smteta_constAddition_095.st;1.26;0.06;0:00.55;237%;(0avgtext+0avgdata 107608maxresident)k;16inputs+120outputs;(0major+18242minor)pagefaults;0swaps
smteta_constAddition_096.st;1.38;0.05;0:00.57;252%;(0avgtext+0avgdata 108780maxresident)k;16inputs+120outputs;(0major+19568minor)pagefaults;0swaps
smteta_constAddition_097.st;1.31;0.06;0:00.56;246%;(0avgtext+0avgdata 102716maxresident)k;16inputs+120outputs;(0major+18353minor)pagefaults;0swaps
smteta_constAddition_098.st;1.36;0.07;0:00.57;253%;(0avgtext+0avgdata 107076maxresident)k;16inputs+152outputs;(0major+19380minor)pagefaults;0swaps
smteta_constAddition_099.st;1.38;0.04;0:00.56;253%;(0avgtext+0avgdata 104624maxresident)k;16inputs+120outputs;(0major+18356minor)pagefaults;0swaps
