identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constDivision_001.st;0.98;0.07;0:00.84;124%;(0avgtext+0avgdata 90408maxresident)k;29192inputs+88outputs;(2major+19514minor)pagefaults;0swaps
nuXmv_constDivision_002.st;1.08;0.03;0:00.66;170%;(0avgtext+0avgdata 87084maxresident)k;0inputs+96outputs;(0major+19770minor)pagefaults;0swaps
nuXmv_constDivision_003.st;1.27;0.05;0:00.86;152%;(0avgtext+0avgdata 88036maxresident)k;0inputs+96outputs;(0major+25822minor)pagefaults;0swaps
nuXmv_constDivision_004.st;1.28;0.05;0:00.86;154%;(0avgtext+0avgdata 81068maxresident)k;0inputs+96outputs;(0major+25183minor)pagefaults;0swaps
nuXmv_constDivision_005.st;1.37;0.06;0:00.96;149%;(0avgtext+0avgdata 87888maxresident)k;0inputs+96outputs;(0major+27495minor)pagefaults;0swaps
nuXmv_constDivision_006.st;1.43;0.09;0:01.06;143%;(0avgtext+0avgdata 89500maxresident)k;0inputs+96outputs;(0major+26917minor)pagefaults;0swaps
nuXmv_constDivision_007.st;1.57;0.06;0:01.15;140%;(0avgtext+0avgdata 86624maxresident)k;0inputs+96outputs;(0major+36912minor)pagefaults;0swaps
nuXmv_constDivision_008.st;1.57;0.05;0:01.14;142%;(0avgtext+0avgdata 92988maxresident)k;0inputs+96outputs;(0major+38528minor)pagefaults;0swaps
nuXmv_constDivision_009.st;2.32;0.05;0:01.89;125%;(0avgtext+0avgdata 109788maxresident)k;0inputs+96outputs;(0major+40460minor)pagefaults;0swaps
nuXmv_constDivision_010.st;1.81;0.06;0:01.38;136%;(0avgtext+0avgdata 98660maxresident)k;0inputs+96outputs;(0major+38130minor)pagefaults;0swaps
nuXmv_constDivision_011.st;2.74;0.10;0:02.35;120%;(0avgtext+0avgdata 140948maxresident)k;0inputs+96outputs;(0major+67461minor)pagefaults;0swaps
nuXmv_constDivision_012.st;3.87;0.10;0:03.46;114%;(0avgtext+0avgdata 142824maxresident)k;0inputs+96outputs;(0major+50223minor)pagefaults;0swaps
nuXmv_constDivision_013.st;6.18;0.08;0:05.77;108%;(0avgtext+0avgdata 147516maxresident)k;0inputs+128outputs;(0major+62371minor)pagefaults;0swaps
nuXmv_constDivision_014.st;2.50;0.10;0:02.05;126%;(0avgtext+0avgdata 150712maxresident)k;0inputs+104outputs;(0major+64809minor)pagefaults;0swaps
nuXmv_constDivision_015.st;2.57;0.09;0:02.11;126%;(0avgtext+0avgdata 150232maxresident)k;0inputs+96outputs;(0major+68087minor)pagefaults;0swaps
