identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_varAddition_001.st;0.82;0.05;0:00.46;187%;(0avgtext+0avgdata 77136maxresident)k;0inputs+72outputs;(0major+11558minor)pagefaults;0swaps
smteta_varAddition_002.st;0.87;0.03;0:00.44;205%;(0avgtext+0avgdata 82776maxresident)k;0inputs+72outputs;(0major+12024minor)pagefaults;0swaps
smteta_varAddition_003.st;0.88;0.04;0:00.44;209%;(0avgtext+0avgdata 82204maxresident)k;0inputs+72outputs;(0major+11610minor)pagefaults;0swaps
smteta_varAddition_004.st;0.83;0.06;0:00.45;200%;(0avgtext+0avgdata 82320maxresident)k;0inputs+80outputs;(0major+12224minor)pagefaults;0swaps
smteta_varAddition_005.st;0.90;0.05;0:00.45;213%;(0avgtext+0avgdata 81740maxresident)k;0inputs+80outputs;(0major+12699minor)pagefaults;0swaps
smteta_varAddition_006.st;0.92;0.03;0:00.44;214%;(0avgtext+0avgdata 84588maxresident)k;0inputs+80outputs;(0major+12864minor)pagefaults;0swaps
smteta_varAddition_007.st;0.85;0.04;0:00.45;196%;(0avgtext+0avgdata 82800maxresident)k;0inputs+80outputs;(0major+11345minor)pagefaults;0swaps
smteta_varAddition_008.st;0.89;0.04;0:00.46;201%;(0avgtext+0avgdata 84032maxresident)k;0inputs+144outputs;(0major+11973minor)pagefaults;0swaps
smteta_varAddition_009.st;0.95;0.06;0:00.49;204%;(0avgtext+0avgdata 83136maxresident)k;0inputs+80outputs;(0major+11893minor)pagefaults;0swaps
smteta_varAddition_010.st;0.94;0.04;0:00.50;196%;(0avgtext+0avgdata 81680maxresident)k;0inputs+80outputs;(0major+11965minor)pagefaults;0swaps
smteta_varAddition_011.st;0.86;0.07;0:00.45;205%;(0avgtext+0avgdata 85136maxresident)k;0inputs+88outputs;(0major+11867minor)pagefaults;0swaps
smteta_varAddition_012.st;0.97;0.05;0:00.47;215%;(0avgtext+0avgdata 80704maxresident)k;0inputs+88outputs;(0major+12268minor)pagefaults;0swaps
smteta_varAddition_013.st;0.92;0.04;0:00.46;207%;(0avgtext+0avgdata 83284maxresident)k;0inputs+88outputs;(0major+11372minor)pagefaults;0swaps
smteta_varAddition_014.st;0.97;0.05;0:00.47;215%;(0avgtext+0avgdata 85272maxresident)k;0inputs+88outputs;(0major+12344minor)pagefaults;0swaps
smteta_varAddition_015.st;1.00;0.05;0:00.51;208%;(0avgtext+0avgdata 83596maxresident)k;0inputs+88outputs;(0major+12561minor)pagefaults;0swaps
smteta_varAddition_016.st;0.90;0.05;0:00.47;202%;(0avgtext+0avgdata 82616maxresident)k;0inputs+88outputs;(0major+12260minor)pagefaults;0swaps
smteta_varAddition_017.st;0.91;0.05;0:00.47;204%;(0avgtext+0avgdata 81000maxresident)k;0inputs+88outputs;(0major+12383minor)pagefaults;0swaps
smteta_varAddition_018.st;0.97;0.04;0:00.48;209%;(0avgtext+0avgdata 83896maxresident)k;0inputs+96outputs;(0major+12224minor)pagefaults;0swaps
smteta_varAddition_019.st;1.01;0.04;0:00.48;218%;(0avgtext+0avgdata 83172maxresident)k;0inputs+96outputs;(0major+12459minor)pagefaults;0swaps
smteta_varAddition_020.st;0.97;0.05;0:00.48;212%;(0avgtext+0avgdata 82868maxresident)k;0inputs+96outputs;(0major+11604minor)pagefaults;0swaps
smteta_varAddition_021.st;1.02;0.06;0:00.49;220%;(0avgtext+0avgdata 85784maxresident)k;0inputs+96outputs;(0major+12778minor)pagefaults;0swaps
smteta_varAddition_022.st;0.99;0.06;0:00.49;213%;(0avgtext+0avgdata 84396maxresident)k;0inputs+96outputs;(0major+12556minor)pagefaults;0swaps
smteta_varAddition_023.st;1.01;0.05;0:00.49;214%;(0avgtext+0avgdata 84440maxresident)k;0inputs+96outputs;(0major+12555minor)pagefaults;0swaps
smteta_varAddition_024.st;1.07;0.07;0:00.51;222%;(0avgtext+0avgdata 86704maxresident)k;0inputs+104outputs;(0major+12441minor)pagefaults;0swaps
smteta_varAddition_025.st;1.06;0.04;0:00.48;229%;(0avgtext+0avgdata 84288maxresident)k;0inputs+104outputs;(0major+12260minor)pagefaults;0swaps
smteta_varAddition_026.st;1.00;0.05;0:00.48;219%;(0avgtext+0avgdata 85132maxresident)k;0inputs+104outputs;(0major+12283minor)pagefaults;0swaps
smteta_varAddition_027.st;1.00;0.05;0:00.49;214%;(0avgtext+0avgdata 85440maxresident)k;0inputs+104outputs;(0major+12022minor)pagefaults;0swaps
smteta_varAddition_028.st;1.01;0.05;0:00.49;214%;(0avgtext+0avgdata 83868maxresident)k;0inputs+104outputs;(0major+11522minor)pagefaults;0swaps
