identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_varAddition_001.st;0.94;0.08;0:00.68;150%;(0avgtext+0avgdata 86436maxresident)k;0inputs+80outputs;(0major+13554minor)pagefaults;0swaps
nuXmv_varAddition_002.st;1.00;0.05;0:00.53;199%;(0avgtext+0avgdata 85416maxresident)k;0inputs+80outputs;(0major+13462minor)pagefaults;0swaps
nuXmv_varAddition_003.st;0.99;0.05;0:00.52;199%;(0avgtext+0avgdata 87140maxresident)k;0inputs+80outputs;(0major+13890minor)pagefaults;0swaps
nuXmv_varAddition_004.st;0.93;0.03;0:00.49;197%;(0avgtext+0avgdata 84420maxresident)k;0inputs+80outputs;(0major+13647minor)pagefaults;0swaps
nuXmv_varAddition_005.st;0.99;0.05;0:00.53;194%;(0avgtext+0avgdata 86004maxresident)k;0inputs+80outputs;(0major+14051minor)pagefaults;0swaps
nuXmv_varAddition_006.st;0.96;0.08;0:00.53;197%;(0avgtext+0avgdata 85544maxresident)k;0inputs+80outputs;(0major+13032minor)pagefaults;0swaps
nuXmv_varAddition_007.st;0.94;0.06;0:00.50;201%;(0avgtext+0avgdata 86352maxresident)k;0inputs+80outputs;(0major+13614minor)pagefaults;0swaps
nuXmv_varAddition_008.st;0.96;0.05;0:00.49;205%;(0avgtext+0avgdata 85544maxresident)k;0inputs+80outputs;(0major+13490minor)pagefaults;0swaps
nuXmv_varAddition_009.st;0.93;0.06;0:00.49;201%;(0avgtext+0avgdata 86956maxresident)k;0inputs+80outputs;(0major+13302minor)pagefaults;0swaps
nuXmv_varAddition_010.st;0.97;0.05;0:00.50;202%;(0avgtext+0avgdata 85844maxresident)k;0inputs+80outputs;(0major+14109minor)pagefaults;0swaps
nuXmv_varAddition_011.st;0.93;0.07;0:00.50;200%;(0avgtext+0avgdata 85584maxresident)k;0inputs+88outputs;(0major+13568minor)pagefaults;0swaps
nuXmv_varAddition_012.st;0.99;0.05;0:00.51;203%;(0avgtext+0avgdata 89648maxresident)k;0inputs+88outputs;(0major+12994minor)pagefaults;0swaps
nuXmv_varAddition_013.st;1.01;0.06;0:00.54;199%;(0avgtext+0avgdata 85428maxresident)k;0inputs+88outputs;(0major+13947minor)pagefaults;0swaps
nuXmv_varAddition_014.st;0.95;0.09;0:00.50;206%;(0avgtext+0avgdata 88380maxresident)k;0inputs+88outputs;(0major+13421minor)pagefaults;0swaps
nuXmv_varAddition_015.st;0.97;0.06;0:00.51;203%;(0avgtext+0avgdata 84132maxresident)k;0inputs+88outputs;(0major+13738minor)pagefaults;0swaps
nuXmv_varAddition_016.st;1.00;0.04;0:00.51;201%;(0avgtext+0avgdata 87232maxresident)k;0inputs+88outputs;(0major+12912minor)pagefaults;0swaps
nuXmv_varAddition_017.st;1.05;0.06;0:00.54;203%;(0avgtext+0avgdata 89172maxresident)k;0inputs+88outputs;(0major+13216minor)pagefaults;0swaps
nuXmv_varAddition_018.st;1.03;0.05;0:00.53;202%;(0avgtext+0avgdata 89776maxresident)k;0inputs+88outputs;(0major+13271minor)pagefaults;0swaps
nuXmv_varAddition_019.st;1.03;0.05;0:00.51;211%;(0avgtext+0avgdata 84904maxresident)k;0inputs+88outputs;(0major+13134minor)pagefaults;0swaps
nuXmv_varAddition_020.st;1.00;0.07;0:00.53;202%;(0avgtext+0avgdata 88748maxresident)k;0inputs+88outputs;(0major+13328minor)pagefaults;0swaps
nuXmv_varAddition_021.st;1.06;0.07;0:00.55;204%;(0avgtext+0avgdata 87956maxresident)k;0inputs+88outputs;(0major+14116minor)pagefaults;0swaps
nuXmv_varAddition_022.st;1.04;0.06;0:00.52;210%;(0avgtext+0avgdata 89164maxresident)k;0inputs+88outputs;(0major+13362minor)pagefaults;0swaps
nuXmv_varAddition_023.st;1.01;0.07;0:00.51;211%;(0avgtext+0avgdata 89972maxresident)k;0inputs+88outputs;(0major+13110minor)pagefaults;0swaps
nuXmv_varAddition_024.st;1.09;0.03;0:00.52;215%;(0avgtext+0avgdata 87496maxresident)k;0inputs+88outputs;(0major+13840minor)pagefaults;0swaps
nuXmv_varAddition_025.st;1.04;0.05;0:00.52;208%;(0avgtext+0avgdata 84744maxresident)k;0inputs+88outputs;(0major+14015minor)pagefaults;0swaps
nuXmv_varAddition_026.st;1.05;0.08;0:00.56;204%;(0avgtext+0avgdata 90016maxresident)k;0inputs+88outputs;(0major+13776minor)pagefaults;0swaps
nuXmv_varAddition_027.st;1.10;0.03;0:00.54;209%;(0avgtext+0avgdata 91916maxresident)k;0inputs+88outputs;(0major+13324minor)pagefaults;0swaps
nuXmv_varAddition_028.st;1.09;0.05;0:00.56;204%;(0avgtext+0avgdata 89100maxresident)k;0inputs+152outputs;(0major+13700minor)pagefaults;0swaps
nuXmv_varAddition_029.st;1.09;0.05;0:00.53;216%;(0avgtext+0avgdata 89916maxresident)k;0inputs+96outputs;(0major+13677minor)pagefaults;0swaps
nuXmv_varAddition_030.st;1.09;0.06;0:00.52;217%;(0avgtext+0avgdata 89664maxresident)k;0inputs+96outputs;(0major+13475minor)pagefaults;0swaps
nuXmv_varAddition_031.st;1.09;0.05;0:00.52;217%;(0avgtext+0avgdata 85672maxresident)k;0inputs+96outputs;(0major+14133minor)pagefaults;0swaps
nuXmv_varAddition_032.st;1.16;0.06;0:00.56;216%;(0avgtext+0avgdata 82572maxresident)k;0inputs+96outputs;(0major+12993minor)pagefaults;0swaps
nuXmv_varAddition_033.st;1.11;0.04;0:00.54;215%;(0avgtext+0avgdata 87444maxresident)k;0inputs+96outputs;(0major+14138minor)pagefaults;0swaps
nuXmv_varAddition_034.st;1.15;0.02;0:00.53;220%;(0avgtext+0avgdata 88928maxresident)k;0inputs+96outputs;(0major+14457minor)pagefaults;0swaps
nuXmv_varAddition_035.st;1.12;0.06;0:00.53;221%;(0avgtext+0avgdata 89060maxresident)k;0inputs+96outputs;(0major+13636minor)pagefaults;0swaps
nuXmv_varAddition_036.st;1.10;0.06;0:00.53;219%;(0avgtext+0avgdata 91500maxresident)k;0inputs+96outputs;(0major+13587minor)pagefaults;0swaps
nuXmv_varAddition_037.st;1.09;0.04;0:00.53;213%;(0avgtext+0avgdata 90104maxresident)k;0inputs+96outputs;(0major+13114minor)pagefaults;0swaps
nuXmv_varAddition_038.st;1.12;0.05;0:00.54;217%;(0avgtext+0avgdata 89404maxresident)k;0inputs+96outputs;(0major+14130minor)pagefaults;0swaps
nuXmv_varAddition_039.st;1.09;0.07;0:00.53;217%;(0avgtext+0avgdata 91084maxresident)k;0inputs+96outputs;(0major+13835minor)pagefaults;0swaps
nuXmv_varAddition_040.st;1.10;0.05;0:00.54;210%;(0avgtext+0avgdata 89392maxresident)k;0inputs+96outputs;(0major+13892minor)pagefaults;0swaps
nuXmv_varAddition_041.st;1.22;0.05;0:00.54;234%;(0avgtext+0avgdata 98420maxresident)k;0inputs+96outputs;(0major+16663minor)pagefaults;0swaps
nuXmv_varAddition_042.st;1.22;0.04;0:00.54;232%;(0avgtext+0avgdata 99368maxresident)k;0inputs+96outputs;(0major+16442minor)pagefaults;0swaps
nuXmv_varAddition_043.st;1.23;0.07;0:00.54;238%;(0avgtext+0avgdata 96824maxresident)k;0inputs+96outputs;(0major+16885minor)pagefaults;0swaps
nuXmv_varAddition_044.st;1.28;0.05;0:00.58;230%;(0avgtext+0avgdata 97004maxresident)k;0inputs+96outputs;(0major+16522minor)pagefaults;0swaps
nuXmv_varAddition_045.st;1.20;0.07;0:00.54;233%;(0avgtext+0avgdata 97048maxresident)k;0inputs+96outputs;(0major+17026minor)pagefaults;0swaps
nuXmv_varAddition_046.st;1.24;0.07;0:00.54;240%;(0avgtext+0avgdata 99224maxresident)k;0inputs+96outputs;(0major+16425minor)pagefaults;0swaps
nuXmv_varAddition_047.st;1.20;0.08;0:00.54;238%;(0avgtext+0avgdata 93988maxresident)k;0inputs+104outputs;(0major+16133minor)pagefaults;0swaps
nuXmv_varAddition_048.st;1.26;0.04;0:00.55;236%;(0avgtext+0avgdata 97448maxresident)k;0inputs+136outputs;(0major+16814minor)pagefaults;0swaps
nuXmv_varAddition_049.st;1.18;0.09;0:00.54;233%;(0avgtext+0avgdata 95220maxresident)k;0inputs+104outputs;(0major+16233minor)pagefaults;0swaps
nuXmv_varAddition_050.st;1.24;0.07;0:00.56;235%;(0avgtext+0avgdata 98372maxresident)k;0inputs+104outputs;(0major+16646minor)pagefaults;0swaps
nuXmv_varAddition_051.st;1.32;0.08;0:00.60;234%;(0avgtext+0avgdata 108312maxresident)k;0inputs+104outputs;(0major+19309minor)pagefaults;0swaps
nuXmv_varAddition_052.st;1.26;0.05;0:00.57;231%;(0avgtext+0avgdata 97068maxresident)k;0inputs+104outputs;(0major+17013minor)pagefaults;0swaps
nuXmv_varAddition_053.st;1.27;0.06;0:00.56;238%;(0avgtext+0avgdata 98480maxresident)k;0inputs+104outputs;(0major+16633minor)pagefaults;0swaps
nuXmv_varAddition_054.st;1.33;0.04;0:00.60;230%;(0avgtext+0avgdata 97800maxresident)k;0inputs+104outputs;(0major+16084minor)pagefaults;0swaps
nuXmv_varAddition_055.st;1.30;0.05;0:00.57;236%;(0avgtext+0avgdata 95888maxresident)k;0inputs+104outputs;(0major+16708minor)pagefaults;0swaps
nuXmv_varAddition_056.st;1.29;0.03;0:00.56;235%;(0avgtext+0avgdata 96788maxresident)k;0inputs+104outputs;(0major+17359minor)pagefaults;0swaps
nuXmv_varAddition_057.st;1.24;0.08;0:00.56;233%;(0avgtext+0avgdata 97484maxresident)k;0inputs+104outputs;(0major+16371minor)pagefaults;0swaps
nuXmv_varAddition_058.st;1.38;0.06;0:00.61;236%;(0avgtext+0avgdata 106604maxresident)k;0inputs+104outputs;(0major+19127minor)pagefaults;0swaps
nuXmv_varAddition_059.st;1.32;0.07;0:00.58;240%;(0avgtext+0avgdata 109408maxresident)k;0inputs+104outputs;(0major+19615minor)pagefaults;0swaps
nuXmv_varAddition_060.st;1.37;0.05;0:00.59;240%;(0avgtext+0avgdata 106528maxresident)k;0inputs+104outputs;(0major+19590minor)pagefaults;0swaps
nuXmv_varAddition_061.st;1.39;0.07;0:00.62;234%;(0avgtext+0avgdata 108620maxresident)k;0inputs+104outputs;(0major+20137minor)pagefaults;0swaps
nuXmv_varAddition_062.st;1.38;0.07;0:00.59;245%;(0avgtext+0avgdata 107496maxresident)k;0inputs+104outputs;(0major+19707minor)pagefaults;0swaps
nuXmv_varAddition_063.st;1.35;0.10;0:00.58;250%;(0avgtext+0avgdata 106292maxresident)k;0inputs+104outputs;(0major+19307minor)pagefaults;0swaps
nuXmv_varAddition_064.st;1.41;0.10;0:00.62;242%;(0avgtext+0avgdata 106216maxresident)k;0inputs+104outputs;(0major+19033minor)pagefaults;0swaps
nuXmv_varAddition_065.st;1.35;0.08;0:00.58;245%;(0avgtext+0avgdata 110180maxresident)k;0inputs+104outputs;(0major+20111minor)pagefaults;0swaps
nuXmv_varAddition_066.st;1.35;0.08;0:00.58;248%;(0avgtext+0avgdata 109460maxresident)k;0inputs+112outputs;(0major+20002minor)pagefaults;0swaps
nuXmv_varAddition_067.st;1.39;0.06;0:00.59;245%;(0avgtext+0avgdata 99196maxresident)k;0inputs+112outputs;(0major+20294minor)pagefaults;0swaps
nuXmv_varAddition_068.st;1.40;0.09;0:00.62;238%;(0avgtext+0avgdata 108968maxresident)k;0inputs+112outputs;(0major+19221minor)pagefaults;0swaps
