identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constMultiplication_001.st;1.00;0.05;0:00.57;185%;(0avgtext+0avgdata 81500maxresident)k;0inputs+96outputs;(0major+17516minor)pagefaults;0swaps
nuXmv_constMultiplication_002.st;2.10;0.04;0:01.67;128%;(0avgtext+0avgdata 85972maxresident)k;0inputs+96outputs;(0major+19965minor)pagefaults;0swaps
nuXmv_constMultiplication_003.st;2.75;0.06;0:02.32;121%;(0avgtext+0avgdata 86384maxresident)k;0inputs+96outputs;(0major+21469minor)pagefaults;0swaps
nuXmv_constMultiplication_004.st;3.84;0.08;0:03.42;114%;(0avgtext+0avgdata 85812maxresident)k;0inputs+96outputs;(0major+25142minor)pagefaults;0swaps
nuXmv_constMultiplication_005.st;17.20;0.06;0:16.77;102%;(0avgtext+0avgdata 84776maxresident)k;0inputs+192outputs;(0major+28707minor)pagefaults;0swaps
nuXmv_constMultiplication_006.st;3.43;0.05;0:02.96;117%;(0avgtext+0avgdata 92036maxresident)k;0inputs+96outputs;(0major+26822minor)pagefaults;0swaps
nuXmv_constMultiplication_007.st;1.11;0.09;0:00.70;171%;(0avgtext+0avgdata 89720maxresident)k;0inputs+96outputs;(0major+22914minor)pagefaults;0swaps
nuXmv_constMultiplication_008.st;3.64;0.08;0:03.20;116%;(0avgtext+0avgdata 90968maxresident)k;0inputs+96outputs;(0major+31045minor)pagefaults;0swaps
nuXmv_constMultiplication_009.st;1.48;0.07;0:01.04;149%;(0avgtext+0avgdata 87584maxresident)k;0inputs+96outputs;(0major+26978minor)pagefaults;0swaps
nuXmv_constMultiplication_010.st;75.11;0.10;1:14.65;100%;(0avgtext+0avgdata 158236maxresident)k;0inputs+184outputs;(0major+38744minor)pagefaults;0swaps
nuXmv_constMultiplication_011.st;95.10;0.12;1:34.66;100%;(0avgtext+0avgdata 168236maxresident)k;0inputs+248outputs;(0major+39587minor)pagefaults;0swaps
nuXmv_constMultiplication_012.st;2.01;0.07;0:01.56;133%;(0avgtext+0avgdata 93812maxresident)k;0inputs+96outputs;(0major+32817minor)pagefaults;0swaps
nuXmv_constMultiplication_013.st;1.38;0.07;0:00.92;157%;(0avgtext+0avgdata 86640maxresident)k;0inputs+96outputs;(0major+25600minor)pagefaults;0swaps
