identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constMultiplication_001.st;0.80;0.04;0:00.48;176%;(0avgtext+0avgdata 86080maxresident)k;0inputs+72outputs;(0major+12092minor)pagefaults;0swaps
smteta_constMultiplication_002.st;0.82;0.05;0:00.43;202%;(0avgtext+0avgdata 82668maxresident)k;0inputs+72outputs;(0major+11965minor)pagefaults;0swaps
smteta_constMultiplication_003.st;0.81;0.04;0:00.43;196%;(0avgtext+0avgdata 84924maxresident)k;0inputs+72outputs;(0major+11829minor)pagefaults;0swaps
smteta_constMultiplication_004.st;0.83;0.02;0:00.46;183%;(0avgtext+0avgdata 82612maxresident)k;0inputs+72outputs;(0major+11772minor)pagefaults;0swaps
smteta_constMultiplication_005.st;0.81;0.02;0:00.43;192%;(0avgtext+0avgdata 80692maxresident)k;0inputs+72outputs;(0major+11779minor)pagefaults;0swaps
smteta_constMultiplication_006.st;0.82;0.02;0:00.44;190%;(0avgtext+0avgdata 83988maxresident)k;0inputs+72outputs;(0major+11621minor)pagefaults;0swaps
smteta_constMultiplication_007.st;0.86;0.05;0:00.45;200%;(0avgtext+0avgdata 78944maxresident)k;0inputs+72outputs;(0major+12842minor)pagefaults;0swaps
smteta_constMultiplication_008.st;0.85;0.06;0:00.45;201%;(0avgtext+0avgdata 82036maxresident)k;0inputs+72outputs;(0major+12815minor)pagefaults;0swaps
smteta_constMultiplication_009.st;0.88;0.04;0:00.46;201%;(0avgtext+0avgdata 85176maxresident)k;0inputs+72outputs;(0major+12188minor)pagefaults;0swaps
smteta_constMultiplication_010.st;0.89;0.04;0:00.46;202%;(0avgtext+0avgdata 80952maxresident)k;0inputs+104outputs;(0major+11839minor)pagefaults;0swaps
smteta_constMultiplication_011.st;0.83;0.07;0:00.48;186%;(0avgtext+0avgdata 84072maxresident)k;0inputs+80outputs;(0major+12205minor)pagefaults;0swaps
smteta_constMultiplication_012.st;0.83;0.04;0:00.45;192%;(0avgtext+0avgdata 81936maxresident)k;0inputs+80outputs;(0major+12146minor)pagefaults;0swaps
smteta_constMultiplication_013.st;0.84;0.04;0:00.45;193%;(0avgtext+0avgdata 84580maxresident)k;0inputs+80outputs;(0major+11826minor)pagefaults;0swaps
smteta_constMultiplication_014.st;0.84;0.05;0:00.46;195%;(0avgtext+0avgdata 84516maxresident)k;0inputs+80outputs;(0major+11850minor)pagefaults;0swaps
smteta_constMultiplication_015.st;0.90;0.05;0:00.46;208%;(0avgtext+0avgdata 81504maxresident)k;0inputs+80outputs;(0major+12479minor)pagefaults;0swaps
smteta_constMultiplication_016.st;0.88;0.04;0:00.46;202%;(0avgtext+0avgdata 79664maxresident)k;0inputs+80outputs;(0major+12043minor)pagefaults;0swaps
