identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constAddition_001.st;1.05;0.09;0:00.83;138%;(0avgtext+0avgdata 87444maxresident)k;2568inputs+192outputs;(0major+17049minor)pagefaults;0swaps
nuXmv_constAddition_002.st;0.96;0.07;0:00.54;189%;(0avgtext+0avgdata 87748maxresident)k;0inputs+96outputs;(0major+18398minor)pagefaults;0swaps
nuXmv_constAddition_003.st;0.96;0.06;0:00.55;184%;(0avgtext+0avgdata 87932maxresident)k;0inputs+96outputs;(0major+18723minor)pagefaults;0swaps
nuXmv_constAddition_004.st;1.00;0.06;0:00.59;179%;(0avgtext+0avgdata 86184maxresident)k;0inputs+96outputs;(0major+18447minor)pagefaults;0swaps
nuXmv_constAddition_005.st;1.11;0.08;0:00.69;172%;(0avgtext+0avgdata 87844maxresident)k;0inputs+96outputs;(0major+18542minor)pagefaults;0swaps
nuXmv_constAddition_006.st;1.13;0.05;0:00.68;173%;(0avgtext+0avgdata 80708maxresident)k;0inputs+88outputs;(0major+18498minor)pagefaults;0swaps
nuXmv_constAddition_007.st;1.22;0.07;0:00.79;163%;(0avgtext+0avgdata 87664maxresident)k;0inputs+96outputs;(0major+20685minor)pagefaults;0swaps
nuXmv_constAddition_008.st;1.16;0.10;0:00.75;167%;(0avgtext+0avgdata 90572maxresident)k;0inputs+96outputs;(0major+20724minor)pagefaults;0swaps
nuXmv_constAddition_009.st;1.70;0.06;0:01.26;140%;(0avgtext+0avgdata 85792maxresident)k;0inputs+96outputs;(0major+20741minor)pagefaults;0swaps
nuXmv_constAddition_010.st;1.64;0.05;0:01.16;145%;(0avgtext+0avgdata 88264maxresident)k;0inputs+96outputs;(0major+21555minor)pagefaults;0swaps
nuXmv_constAddition_011.st;2.82;0.06;0:02.35;122%;(0avgtext+0avgdata 88492maxresident)k;0inputs+128outputs;(0major+22948minor)pagefaults;0swaps
nuXmv_constAddition_012.st;1.67;0.06;0:01.20;143%;(0avgtext+0avgdata 86976maxresident)k;0inputs+96outputs;(0major+21665minor)pagefaults;0swaps
nuXmv_constAddition_013.st;2.33;0.07;0:01.86;129%;(0avgtext+0avgdata 87732maxresident)k;0inputs+96outputs;(0major+23520minor)pagefaults;0swaps
nuXmv_constAddition_014.st;2.28;0.05;0:01.77;131%;(0avgtext+0avgdata 89264maxresident)k;0inputs+96outputs;(0major+26650minor)pagefaults;0swaps
nuXmv_constAddition_015.st;2.34;0.07;0:01.87;128%;(0avgtext+0avgdata 85164maxresident)k;0inputs+104outputs;(0major+26676minor)pagefaults;0swaps
nuXmv_constAddition_016.st;4.54;0.12;0:04.11;113%;(0avgtext+0avgdata 87832maxresident)k;0inputs+104outputs;(0major+28071minor)pagefaults;0swaps
nuXmv_constAddition_017.st;1.99;0.06;0:01.51;136%;(0avgtext+0avgdata 82192maxresident)k;0inputs+104outputs;(0major+25808minor)pagefaults;0swaps
nuXmv_constAddition_018.st;3.04;0.08;0:02.56;122%;(0avgtext+0avgdata 91680maxresident)k;0inputs+104outputs;(0major+26319minor)pagefaults;0swaps
nuXmv_constAddition_019.st;2.14;0.06;0:01.66;132%;(0avgtext+0avgdata 88940maxresident)k;0inputs+136outputs;(0major+26778minor)pagefaults;0swaps
nuXmv_constAddition_020.st;5.98;0.08;0:05.52;109%;(0avgtext+0avgdata 87772maxresident)k;0inputs+104outputs;(0major+28930minor)pagefaults;0swaps
nuXmv_constAddition_021.st;7.33;0.07;0:06.82;108%;(0avgtext+0avgdata 90280maxresident)k;0inputs+104outputs;(0major+29736minor)pagefaults;0swaps
nuXmv_constAddition_022.st;6.14;0.09;0:05.67;109%;(0avgtext+0avgdata 91496maxresident)k;0inputs+104outputs;(0major+30769minor)pagefaults;0swaps
nuXmv_constAddition_023.st;3.97;0.08;0:03.45;117%;(0avgtext+0avgdata 91368maxresident)k;0inputs+104outputs;(0major+29196minor)pagefaults;0swaps
