identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constAddition_001.st;1.05;0.07;0:00.80;139%;(0avgtext+0avgdata 87496maxresident)k;2568inputs+96outputs;(0major+17597minor)pagefaults;0swaps
nuXmv_constAddition_002.st;1.02;0.05;0:00.58;183%;(0avgtext+0avgdata 91148maxresident)k;0inputs+96outputs;(0major+17995minor)pagefaults;0swaps
nuXmv_constAddition_003.st;0.98;0.08;0:00.58;185%;(0avgtext+0avgdata 85700maxresident)k;0inputs+96outputs;(0major+18375minor)pagefaults;0swaps
nuXmv_constAddition_004.st;1.03;0.09;0:00.62;180%;(0avgtext+0avgdata 87504maxresident)k;0inputs+96outputs;(0major+19026minor)pagefaults;0swaps
nuXmv_constAddition_005.st;1.12;0.05;0:00.68;171%;(0avgtext+0avgdata 81060maxresident)k;0inputs+96outputs;(0major+19318minor)pagefaults;0swaps
nuXmv_constAddition_006.st;1.11;0.08;0:00.68;175%;(0avgtext+0avgdata 86808maxresident)k;0inputs+128outputs;(0major+19069minor)pagefaults;0swaps
nuXmv_constAddition_007.st;1.19;0.09;0:00.77;167%;(0avgtext+0avgdata 87132maxresident)k;0inputs+96outputs;(0major+19124minor)pagefaults;0swaps
nuXmv_constAddition_008.st;1.26;0.08;0:00.84;159%;(0avgtext+0avgdata 87096maxresident)k;0inputs+96outputs;(0major+20663minor)pagefaults;0swaps
nuXmv_constAddition_009.st;1.96;0.07;0:01.51;134%;(0avgtext+0avgdata 87240maxresident)k;0inputs+96outputs;(0major+21367minor)pagefaults;0swaps
nuXmv_constAddition_010.st;1.52;0.05;0:01.04;151%;(0avgtext+0avgdata 88388maxresident)k;0inputs+96outputs;(0major+21296minor)pagefaults;0swaps
nuXmv_constAddition_011.st;1.96;0.06;0:01.47;137%;(0avgtext+0avgdata 85044maxresident)k;0inputs+96outputs;(0major+21309minor)pagefaults;0swaps
nuXmv_constAddition_012.st;2.11;0.06;0:01.66;130%;(0avgtext+0avgdata 90492maxresident)k;0inputs+96outputs;(0major+22662minor)pagefaults;0swaps
nuXmv_constAddition_013.st;2.27;0.06;0:01.78;130%;(0avgtext+0avgdata 86444maxresident)k;0inputs+96outputs;(0major+22912minor)pagefaults;0swaps
nuXmv_constAddition_014.st;2.80;0.05;0:02.30;124%;(0avgtext+0avgdata 84568maxresident)k;0inputs+120outputs;(0major+27222minor)pagefaults;0swaps
nuXmv_constAddition_015.st;2.06;0.06;0:01.56;135%;(0avgtext+0avgdata 89444maxresident)k;0inputs+104outputs;(0major+26579minor)pagefaults;0swaps
nuXmv_constAddition_016.st;2.11;0.07;0:01.65;132%;(0avgtext+0avgdata 79404maxresident)k;0inputs+104outputs;(0major+26513minor)pagefaults;0swaps
nuXmv_constAddition_017.st;3.17;0.09;0:02.70;120%;(0avgtext+0avgdata 88244maxresident)k;0inputs+104outputs;(0major+26261minor)pagefaults;0swaps
nuXmv_constAddition_018.st;7.14;0.08;0:06.65;108%;(0avgtext+0avgdata 88244maxresident)k;0inputs+104outputs;(0major+29971minor)pagefaults;0swaps
nuXmv_constAddition_019.st;4.00;0.09;0:03.55;115%;(0avgtext+0avgdata 89028maxresident)k;0inputs+104outputs;(0major+27031minor)pagefaults;0swaps
nuXmv_constAddition_020.st;3.85;0.05;0:03.34;116%;(0avgtext+0avgdata 89852maxresident)k;0inputs+104outputs;(0major+25973minor)pagefaults;0swaps
nuXmv_constAddition_021.st;8.57;0.07;0:08.11;106%;(0avgtext+0avgdata 90588maxresident)k;0inputs+200outputs;(0major+28150minor)pagefaults;0swaps
nuXmv_constAddition_022.st;2.84;0.06;0:02.33;124%;(0avgtext+0avgdata 90048maxresident)k;0inputs+104outputs;(0major+26695minor)pagefaults;0swaps
nuXmv_constAddition_023.st;5.45;0.05;0:04.92;112%;(0avgtext+0avgdata 91200maxresident)k;0inputs+104outputs;(0major+29388minor)pagefaults;0swaps
nuXmv_constAddition_024.st;10.31;0.06;0:09.80;105%;(0avgtext+0avgdata 98296maxresident)k;0inputs+104outputs;(0major+29227minor)pagefaults;0swaps
nuXmv_constAddition_025.st;8.64;0.10;0:08.16;107%;(0avgtext+0avgdata 99528maxresident)k;0inputs+104outputs;(0major+31484minor)pagefaults;0swaps
nuXmv_constAddition_026.st;5.04;0.09;0:04.52;113%;(0avgtext+0avgdata 93556maxresident)k;0inputs+104outputs;(0major+31777minor)pagefaults;0swaps
nuXmv_constAddition_027.st;17.55;0.09;0:17.05;103%;(0avgtext+0avgdata 131752maxresident)k;0inputs+136outputs;(0major+33737minor)pagefaults;0swaps
nuXmv_constAddition_028.st;13.53;0.08;0:13.02;104%;(0avgtext+0avgdata 124228maxresident)k;0inputs+104outputs;(0major+36108minor)pagefaults;0swaps
nuXmv_constAddition_029.st;16.02;0.07;0:15.51;103%;(0avgtext+0avgdata 154276maxresident)k;0inputs+128outputs;(0major+35024minor)pagefaults;0swaps
nuXmv_constAddition_030.st;11.01;0.07;0:10.47;105%;(0avgtext+0avgdata 123540maxresident)k;0inputs+96outputs;(0major+35364minor)pagefaults;0swaps
nuXmv_constAddition_031.st;29.13;0.09;0:28.67;101%;(0avgtext+0avgdata 149080maxresident)k;0inputs+184outputs;(0major+36049minor)pagefaults;0swaps
nuXmv_constAddition_032.st;9.18;0.05;0:08.58;107%;(0avgtext+0avgdata 117524maxresident)k;0inputs+128outputs;(0major+33997minor)pagefaults;0swaps
nuXmv_constAddition_033.st;19.63;0.09;0:19.04;103%;(0avgtext+0avgdata 131472maxresident)k;0inputs+136outputs;(0major+39471minor)pagefaults;0swaps
nuXmv_constAddition_034.st;6.90;0.08;0:06.34;110%;(0avgtext+0avgdata 116844maxresident)k;0inputs+112outputs;(0major+35346minor)pagefaults;0swaps
nuXmv_constAddition_035.st;13.88;0.08;0:13.34;104%;(0avgtext+0avgdata 138708maxresident)k;0inputs+136outputs;(0major+38682minor)pagefaults;0swaps
