identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constAddition_001.st;0.90;0.09;0:00.96;104%;(0avgtext+0avgdata 82348maxresident)k;0inputs+168outputs;(0major+11776minor)pagefaults;0swaps
smteta_constAddition_002.st;0.80;0.06;0:00.47;181%;(0avgtext+0avgdata 84040maxresident)k;0inputs+72outputs;(0major+11496minor)pagefaults;0swaps
smteta_constAddition_003.st;0.83;0.03;0:00.44;193%;(0avgtext+0avgdata 81440maxresident)k;0inputs+72outputs;(0major+11453minor)pagefaults;0swaps
smteta_constAddition_004.st;0.77;0.06;0:00.43;192%;(0avgtext+0avgdata 82992maxresident)k;0inputs+72outputs;(0major+11258minor)pagefaults;0swaps
smteta_constAddition_005.st;0.85;0.04;0:00.44;203%;(0avgtext+0avgdata 85260maxresident)k;0inputs+72outputs;(0major+12178minor)pagefaults;0swaps
smteta_constAddition_006.st;0.82;0.06;0:00.47;188%;(0avgtext+0avgdata 84408maxresident)k;0inputs+72outputs;(0major+12185minor)pagefaults;0swaps
smteta_constAddition_007.st;0.88;0.03;0:00.46;198%;(0avgtext+0avgdata 83500maxresident)k;0inputs+72outputs;(0major+11969minor)pagefaults;0swaps
smteta_constAddition_008.st;0.82;0.06;0:00.45;193%;(0avgtext+0avgdata 83068maxresident)k;0inputs+72outputs;(0major+12107minor)pagefaults;0swaps
smteta_constAddition_009.st;0.83;0.06;0:00.45;195%;(0avgtext+0avgdata 83632maxresident)k;0inputs+72outputs;(0major+12136minor)pagefaults;0swaps
smteta_constAddition_010.st;0.78;0.07;0:00.46;184%;(0avgtext+0avgdata 83856maxresident)k;0inputs+136outputs;(0major+12071minor)pagefaults;0swaps
smteta_constAddition_011.st;0.84;0.03;0:00.48;184%;(0avgtext+0avgdata 84844maxresident)k;0inputs+72outputs;(0major+12146minor)pagefaults;0swaps
smteta_constAddition_012.st;0.85;0.07;0:00.46;198%;(0avgtext+0avgdata 83532maxresident)k;0inputs+80outputs;(0major+11920minor)pagefaults;0swaps
smteta_constAddition_013.st;0.88;0.02;0:00.46;196%;(0avgtext+0avgdata 84872maxresident)k;0inputs+80outputs;(0major+12405minor)pagefaults;0swaps
smteta_constAddition_014.st;0.91;0.06;0:00.52;189%;(0avgtext+0avgdata 84344maxresident)k;0inputs+80outputs;(0major+12779minor)pagefaults;0swaps
smteta_constAddition_015.st;0.93;0.03;0:00.47;203%;(0avgtext+0avgdata 85660maxresident)k;0inputs+80outputs;(0major+12274minor)pagefaults;0swaps
smteta_constAddition_016.st;0.92;0.03;0:00.50;190%;(0avgtext+0avgdata 85196maxresident)k;0inputs+80outputs;(0major+11394minor)pagefaults;0swaps
smteta_constAddition_017.st;0.91;0.07;0:00.47;207%;(0avgtext+0avgdata 80236maxresident)k;0inputs+80outputs;(0major+12723minor)pagefaults;0swaps
smteta_constAddition_018.st;0.92;0.03;0:00.47;200%;(0avgtext+0avgdata 84668maxresident)k;0inputs+80outputs;(0major+11718minor)pagefaults;0swaps
smteta_constAddition_019.st;0.92;0.06;0:00.48;205%;(0avgtext+0avgdata 84928maxresident)k;0inputs+80outputs;(0major+12230minor)pagefaults;0swaps
smteta_constAddition_020.st;0.94;0.04;0:00.46;211%;(0avgtext+0avgdata 83628maxresident)k;0inputs+80outputs;(0major+12399minor)pagefaults;0swaps
smteta_constAddition_021.st;0.93;0.04;0:00.47;203%;(0avgtext+0avgdata 85576maxresident)k;0inputs+80outputs;(0major+11924minor)pagefaults;0swaps
smteta_constAddition_022.st;0.91;0.05;0:00.47;203%;(0avgtext+0avgdata 84496maxresident)k;0inputs+80outputs;(0major+12163minor)pagefaults;0swaps
smteta_constAddition_023.st;0.91;0.04;0:00.48;198%;(0avgtext+0avgdata 84252maxresident)k;0inputs+80outputs;(0major+12255minor)pagefaults;0swaps
smteta_constAddition_024.st;1.00;0.04;0:00.52;201%;(0avgtext+0avgdata 81928maxresident)k;0inputs+80outputs;(0major+11854minor)pagefaults;0swaps
smteta_constAddition_025.st;0.98;0.04;0:00.48;210%;(0avgtext+0avgdata 88196maxresident)k;0inputs+80outputs;(0major+12544minor)pagefaults;0swaps
smteta_constAddition_026.st;0.94;0.05;0:00.48;204%;(0avgtext+0avgdata 85668maxresident)k;0inputs+80outputs;(0major+11907minor)pagefaults;0swaps
smteta_constAddition_027.st;0.99;0.05;0:00.48;214%;(0avgtext+0avgdata 83992maxresident)k;0inputs+80outputs;(0major+12339minor)pagefaults;0swaps
smteta_constAddition_028.st;0.93;0.04;0:00.48;201%;(0avgtext+0avgdata 82816maxresident)k;0inputs+120outputs;(0major+11905minor)pagefaults;0swaps
smteta_constAddition_029.st;0.99;0.04;0:00.48;213%;(0avgtext+0avgdata 82464maxresident)k;0inputs+88outputs;(0major+11979minor)pagefaults;0swaps
smteta_constAddition_030.st;0.97;0.08;0:00.50;208%;(0avgtext+0avgdata 82524maxresident)k;0inputs+88outputs;(0major+11933minor)pagefaults;0swaps
smteta_constAddition_031.st;0.93;0.06;0:00.48;204%;(0avgtext+0avgdata 84464maxresident)k;0inputs+88outputs;(0major+12170minor)pagefaults;0swaps
smteta_constAddition_032.st;1.00;0.06;0:00.52;202%;(0avgtext+0avgdata 87940maxresident)k;0inputs+88outputs;(0major+12462minor)pagefaults;0swaps
smteta_constAddition_033.st;1.02;0.05;0:00.48;224%;(0avgtext+0avgdata 85708maxresident)k;0inputs+88outputs;(0major+13610minor)pagefaults;0swaps
smteta_constAddition_034.st;1.02;0.06;0:00.49;220%;(0avgtext+0avgdata 87372maxresident)k;0inputs+88outputs;(0major+13149minor)pagefaults;0swaps
smteta_constAddition_035.st;1.06;0.06;0:00.50;223%;(0avgtext+0avgdata 100524maxresident)k;0inputs+88outputs;(0major+16111minor)pagefaults;0swaps
smteta_constAddition_036.st;1.06;0.05;0:00.54;204%;(0avgtext+0avgdata 96344maxresident)k;0inputs+88outputs;(0major+14790minor)pagefaults;0swaps
smteta_constAddition_037.st;1.01;0.06;0:00.50;215%;(0avgtext+0avgdata 84636maxresident)k;0inputs+88outputs;(0major+12561minor)pagefaults;0swaps
smteta_constAddition_038.st;1.05;0.05;0:00.49;222%;(0avgtext+0avgdata 95360maxresident)k;0inputs+120outputs;(0major+15460minor)pagefaults;0swaps
smteta_constAddition_039.st;1.07;0.04;0:00.53;209%;(0avgtext+0avgdata 95320maxresident)k;0inputs+88outputs;(0major+14476minor)pagefaults;0swaps
smteta_constAddition_040.st;1.11;0.05;0:00.51;227%;(0avgtext+0avgdata 97756maxresident)k;0inputs+88outputs;(0major+15275minor)pagefaults;0swaps
smteta_constAddition_041.st;1.07;0.06;0:00.53;214%;(0avgtext+0avgdata 90840maxresident)k;0inputs+88outputs;(0major+14916minor)pagefaults;0swaps
smteta_constAddition_042.st;1.11;0.04;0:00.50;229%;(0avgtext+0avgdata 91640maxresident)k;0inputs+88outputs;(0major+15393minor)pagefaults;0swaps
smteta_constAddition_043.st;1.05;0.06;0:00.50;222%;(0avgtext+0avgdata 95020maxresident)k;0inputs+88outputs;(0major+15959minor)pagefaults;0swaps
smteta_constAddition_044.st;1.14;0.04;0:00.50;233%;(0avgtext+0avgdata 91288maxresident)k;0inputs+96outputs;(0major+14732minor)pagefaults;0swaps
