identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constMultiplication_001.st;0.88;0.06;0:00.58;163%;(0avgtext+0avgdata 83260maxresident)k;0inputs+72outputs;(0major+12353minor)pagefaults;0swaps
smteta_constMultiplication_002.st;0.86;0.03;0:00.43;204%;(0avgtext+0avgdata 84800maxresident)k;0inputs+72outputs;(0major+11674minor)pagefaults;0swaps
smteta_constMultiplication_003.st;0.83;0.02;0:00.44;193%;(0avgtext+0avgdata 83544maxresident)k;0inputs+136outputs;(0major+11610minor)pagefaults;0swaps
smteta_constMultiplication_004.st;0.81;0.05;0:00.44;192%;(0avgtext+0avgdata 80920maxresident)k;0inputs+72outputs;(0major+11555minor)pagefaults;0swaps
smteta_constMultiplication_005.st;0.83;0.04;0:00.45;194%;(0avgtext+0avgdata 82408maxresident)k;0inputs+72outputs;(0major+12496minor)pagefaults;0swaps
smteta_constMultiplication_006.st;0.89;0.02;0:00.44;206%;(0avgtext+0avgdata 82476maxresident)k;0inputs+72outputs;(0major+12801minor)pagefaults;0swaps
smteta_constMultiplication_007.st;0.82;0.03;0:00.44;190%;(0avgtext+0avgdata 80944maxresident)k;0inputs+72outputs;(0major+11784minor)pagefaults;0swaps
smteta_constMultiplication_008.st;0.89;0.03;0:00.45;203%;(0avgtext+0avgdata 81824maxresident)k;0inputs+72outputs;(0major+11673minor)pagefaults;0swaps
smteta_constMultiplication_009.st;0.85;0.07;0:00.45;202%;(0avgtext+0avgdata 83524maxresident)k;0inputs+72outputs;(0major+12159minor)pagefaults;0swaps
smteta_constMultiplication_010.st;0.89;0.04;0:00.45;204%;(0avgtext+0avgdata 81884maxresident)k;0inputs+72outputs;(0major+11739minor)pagefaults;0swaps
smteta_constMultiplication_011.st;0.90;0.04;0:00.46;206%;(0avgtext+0avgdata 83928maxresident)k;0inputs+80outputs;(0major+11699minor)pagefaults;0swaps
smteta_constMultiplication_012.st;0.95;0.02;0:00.47;208%;(0avgtext+0avgdata 81584maxresident)k;0inputs+80outputs;(0major+12283minor)pagefaults;0swaps
smteta_constMultiplication_013.st;0.89;0.03;0:00.46;198%;(0avgtext+0avgdata 82984maxresident)k;0inputs+80outputs;(0major+12295minor)pagefaults;0swaps
smteta_constMultiplication_014.st;0.88;0.04;0:00.46;198%;(0avgtext+0avgdata 84492maxresident)k;0inputs+80outputs;(0major+12481minor)pagefaults;0swaps
smteta_constMultiplication_015.st;0.86;0.07;0:00.47;199%;(0avgtext+0avgdata 83672maxresident)k;0inputs+80outputs;(0major+12048minor)pagefaults;0swaps
smteta_constMultiplication_016.st;0.86;0.07;0:00.47;197%;(0avgtext+0avgdata 82668maxresident)k;0inputs+80outputs;(0major+12157minor)pagefaults;0swaps
smteta_constMultiplication_017.st;0.87;0.05;0:00.47;193%;(0avgtext+0avgdata 83068maxresident)k;0inputs+80outputs;(0major+11365minor)pagefaults;0swaps
smteta_constMultiplication_018.st;0.88;0.04;0:00.47;196%;(0avgtext+0avgdata 80336maxresident)k;0inputs+80outputs;(0major+12079minor)pagefaults;0swaps
smteta_constMultiplication_019.st;0.94;0.06;0:00.49;202%;(0avgtext+0avgdata 83968maxresident)k;0inputs+80outputs;(0major+12270minor)pagefaults;0swaps
smteta_constMultiplication_020.st;0.92;0.04;0:00.47;202%;(0avgtext+0avgdata 85296maxresident)k;0inputs+80outputs;(0major+12141minor)pagefaults;0swaps
smteta_constMultiplication_021.st;0.95;0.04;0:00.47;209%;(0avgtext+0avgdata 85028maxresident)k;0inputs+80outputs;(0major+12293minor)pagefaults;0swaps
smteta_constMultiplication_022.st;0.89;0.04;0:00.47;198%;(0avgtext+0avgdata 86448maxresident)k;0inputs+80outputs;(0major+11705minor)pagefaults;0swaps
smteta_constMultiplication_023.st;0.95;0.04;0:00.46;213%;(0avgtext+0avgdata 83680maxresident)k;0inputs+80outputs;(0major+12753minor)pagefaults;0swaps
smteta_constMultiplication_024.st;0.92;0.05;0:00.47;207%;(0avgtext+0avgdata 83564maxresident)k;0inputs+80outputs;(0major+11442minor)pagefaults;0swaps
smteta_constMultiplication_025.st;0.92;0.06;0:00.47;207%;(0avgtext+0avgdata 84012maxresident)k;0inputs+144outputs;(0major+12570minor)pagefaults;0swaps
smteta_constMultiplication_026.st;0.96;0.06;0:00.48;210%;(0avgtext+0avgdata 84996maxresident)k;0inputs+88outputs;(0major+12691minor)pagefaults;0swaps
smteta_constMultiplication_027.st;1.02;0.02;0:00.48;214%;(0avgtext+0avgdata 84516maxresident)k;0inputs+88outputs;(0major+12454minor)pagefaults;0swaps
smteta_constMultiplication_028.st;1.00;0.06;0:00.51;206%;(0avgtext+0avgdata 81612maxresident)k;0inputs+88outputs;(0major+11979minor)pagefaults;0swaps
smteta_constMultiplication_029.st;0.93;0.03;0:00.47;202%;(0avgtext+0avgdata 83212maxresident)k;0inputs+88outputs;(0major+11350minor)pagefaults;0swaps
smteta_constMultiplication_030.st;0.94;0.04;0:00.48;205%;(0avgtext+0avgdata 82948maxresident)k;0inputs+88outputs;(0major+11340minor)pagefaults;0swaps
smteta_constMultiplication_031.st;0.95;0.05;0:00.48;208%;(0avgtext+0avgdata 84176maxresident)k;0inputs+88outputs;(0major+12586minor)pagefaults;0swaps
smteta_constMultiplication_032.st;1.02;0.04;0:00.48;220%;(0avgtext+0avgdata 88412maxresident)k;0inputs+88outputs;(0major+12783minor)pagefaults;0swaps
smteta_constMultiplication_033.st;0.98;0.06;0:00.48;215%;(0avgtext+0avgdata 88384maxresident)k;0inputs+88outputs;(0major+13733minor)pagefaults;0swaps
smteta_constMultiplication_034.st;0.98;0.04;0:00.49;210%;(0avgtext+0avgdata 84288maxresident)k;0inputs+88outputs;(0major+11620minor)pagefaults;0swaps
smteta_constMultiplication_035.st;1.03;0.06;0:00.49;224%;(0avgtext+0avgdata 86608maxresident)k;0inputs+88outputs;(0major+12596minor)pagefaults;0swaps
smteta_constMultiplication_036.st;1.10;0.05;0:00.50;231%;(0avgtext+0avgdata 93568maxresident)k;0inputs+88outputs;(0major+15094minor)pagefaults;0swaps
smteta_constMultiplication_037.st;0.97;0.06;0:00.48;211%;(0avgtext+0avgdata 87928maxresident)k;0inputs+88outputs;(0major+12023minor)pagefaults;0swaps
smteta_constMultiplication_038.st;1.08;0.03;0:00.49;224%;(0avgtext+0avgdata 95332maxresident)k;0inputs+88outputs;(0major+14889minor)pagefaults;0swaps
smteta_constMultiplication_039.st;1.08;0.06;0:00.50;228%;(0avgtext+0avgdata 91104maxresident)k;0inputs+88outputs;(0major+14922minor)pagefaults;0swaps
