identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_varAddition_100.st;1.62;0.06;0:00.69;244%;(0avgtext+0avgdata 99252maxresident)k;0inputs+192outputs;(0major+18463minor)pagefaults;0swaps
smteta_varAddition_10.st;0.92;0.04;0:00.46;207%;(0avgtext+0avgdata 82212maxresident)k;0inputs+80outputs;(0major+12457minor)pagefaults;0swaps
smteta_varAddition_11.st;0.93;0.04;0:00.49;197%;(0avgtext+0avgdata 83088maxresident)k;0inputs+88outputs;(0major+11879minor)pagefaults;0swaps
smteta_varAddition_12.st;0.96;0.07;0:00.95;109%;(0avgtext+0avgdata 83436maxresident)k;0inputs+88outputs;(0major+12401minor)pagefaults;0swaps
smteta_varAddition_13.st;0.94;0.03;0:00.47;206%;(0avgtext+0avgdata 83116maxresident)k;0inputs+88outputs;(0major+11420minor)pagefaults;0swaps
smteta_varAddition_14.st;0.95;0.04;0:00.48;206%;(0avgtext+0avgdata 80344maxresident)k;0inputs+88outputs;(0major+12378minor)pagefaults;0swaps
smteta_varAddition_15.st;0.97;0.07;0:00.72;145%;(0avgtext+0avgdata 83516maxresident)k;0inputs+88outputs;(0major+12413minor)pagefaults;0swaps
smteta_varAddition_16.st;0.95;0.01;0:00.48;201%;(0avgtext+0avgdata 80368maxresident)k;0inputs+88outputs;(0major+12263minor)pagefaults;0swaps
smteta_varAddition_17.st;0.97;0.05;0:00.48;212%;(0avgtext+0avgdata 81412maxresident)k;0inputs+88outputs;(0major+12434minor)pagefaults;0swaps
smteta_varAddition_18.st;0.97;0.08;0:00.47;221%;(0avgtext+0avgdata 84180maxresident)k;0inputs+96outputs;(0major+12366minor)pagefaults;0swaps
smteta_varAddition_19.st;0.98;0.04;0:00.48;213%;(0avgtext+0avgdata 85768maxresident)k;0inputs+96outputs;(0major+11523minor)pagefaults;0swaps
smteta_varAddition_1.st;0.80;0.04;0:00.44;189%;(0avgtext+0avgdata 80564maxresident)k;0inputs+72outputs;(0major+11731minor)pagefaults;0swaps
smteta_varAddition_20.st;0.99;0.06;0:00.75;141%;(0avgtext+0avgdata 87564maxresident)k;0inputs+96outputs;(0major+11350minor)pagefaults;0swaps
smteta_varAddition_21.st;1.01;0.04;0:00.73;143%;(0avgtext+0avgdata 84876maxresident)k;0inputs+96outputs;(0major+11957minor)pagefaults;0swaps
smteta_varAddition_22.st;1.01;0.07;0:00.52;208%;(0avgtext+0avgdata 86100maxresident)k;0inputs+96outputs;(0major+12236minor)pagefaults;0swaps
smteta_varAddition_23.st;0.95;0.04;0:00.48;205%;(0avgtext+0avgdata 86388maxresident)k;0inputs+96outputs;(0major+11641minor)pagefaults;0swaps
smteta_varAddition_24.st;1.09;0.08;0:00.74;159%;(0avgtext+0avgdata 85816maxresident)k;0inputs+104outputs;(0major+12846minor)pagefaults;0swaps
smteta_varAddition_25.st;1.04;0.07;0:00.50;222%;(0avgtext+0avgdata 86516maxresident)k;0inputs+104outputs;(0major+11676minor)pagefaults;0swaps
smteta_varAddition_26.st;0.98;0.06;0:00.50;208%;(0avgtext+0avgdata 84244maxresident)k;0inputs+104outputs;(0major+12044minor)pagefaults;0swaps
smteta_varAddition_27.st;1.08;0.06;0:00.76;150%;(0avgtext+0avgdata 82664maxresident)k;0inputs+104outputs;(0major+12355minor)pagefaults;0swaps
smteta_varAddition_28.st;1.01;0.06;0:00.50;215%;(0avgtext+0avgdata 87964maxresident)k;0inputs+104outputs;(0major+12010minor)pagefaults;0swaps
smteta_varAddition_29.st;1.13;0.02;0:00.60;191%;(0avgtext+0avgdata 84500maxresident)k;0inputs+104outputs;(0major+11222minor)pagefaults;0swaps
smteta_varAddition_2.st;0.83;0.06;0:00.67;133%;(0avgtext+0avgdata 80748maxresident)k;0inputs+72outputs;(0major+11340minor)pagefaults;0swaps
smteta_varAddition_30.st;1.08;0.05;0:00.51;221%;(0avgtext+0avgdata 86764maxresident)k;0inputs+104outputs;(0major+12278minor)pagefaults;0swaps
smteta_varAddition_31.st;1.06;0.04;0:00.50;220%;(0avgtext+0avgdata 85284maxresident)k;0inputs+112outputs;(0major+11858minor)pagefaults;0swaps
smteta_varAddition_32.st;1.22;0.03;0:00.54;231%;(0avgtext+0avgdata 87264maxresident)k;0inputs+112outputs;(0major+13829minor)pagefaults;0swaps
smteta_varAddition_33.st;1.33;0.04;0:00.80;172%;(0avgtext+0avgdata 83712maxresident)k;0inputs+112outputs;(0major+12952minor)pagefaults;0swaps
smteta_varAddition_34.st;1.12;0.06;0:00.55;214%;(0avgtext+0avgdata 82836maxresident)k;0inputs+112outputs;(0major+12673minor)pagefaults;0swaps
smteta_varAddition_35.st;1.13;0.06;0:00.52;230%;(0avgtext+0avgdata 90936maxresident)k;0inputs+112outputs;(0major+14992minor)pagefaults;0swaps
smteta_varAddition_36.st;1.22;0.10;0:00.76;173%;(0avgtext+0avgdata 90760maxresident)k;0inputs+112outputs;(0major+14927minor)pagefaults;0swaps
smteta_varAddition_37.st;1.13;0.06;0:00.53;224%;(0avgtext+0avgdata 90300maxresident)k;0inputs+112outputs;(0major+12457minor)pagefaults;0swaps
smteta_varAddition_38.st;1.16;0.04;0:00.52;231%;(0avgtext+0avgdata 94856maxresident)k;0inputs+120outputs;(0major+14858minor)pagefaults;0swaps
smteta_varAddition_39.st;1.17;0.10;0:00.58;219%;(0avgtext+0avgdata 94848maxresident)k;0inputs+152outputs;(0major+14370minor)pagefaults;0swaps
smteta_varAddition_3.st;0.88;0.05;0:00.48;194%;(0avgtext+0avgdata 78988maxresident)k;0inputs+72outputs;(0major+11296minor)pagefaults;0swaps
smteta_varAddition_40.st;1.13;0.08;0:00.52;233%;(0avgtext+0avgdata 94780maxresident)k;0inputs+120outputs;(0major+14979minor)pagefaults;0swaps
smteta_varAddition_41.st;1.16;0.06;0:00.52;233%;(0avgtext+0avgdata 94180maxresident)k;0inputs+120outputs;(0major+15393minor)pagefaults;0swaps
smteta_varAddition_42.st;1.18;0.08;0:00.52;243%;(0avgtext+0avgdata 94360maxresident)k;0inputs+120outputs;(0major+14803minor)pagefaults;0swaps
smteta_varAddition_43.st;1.22;0.04;0:00.53;237%;(0avgtext+0avgdata 87924maxresident)k;0inputs+120outputs;(0major+14820minor)pagefaults;0swaps
smteta_varAddition_44.st;1.19;0.06;0:00.53;233%;(0avgtext+0avgdata 93392maxresident)k;0inputs+128outputs;(0major+15210minor)pagefaults;0swaps
smteta_varAddition_45.st;1.23;0.07;0:00.78;166%;(0avgtext+0avgdata 94568maxresident)k;0inputs+128outputs;(0major+14836minor)pagefaults;0swaps
smteta_varAddition_46.st;1.20;0.04;0:00.55;226%;(0avgtext+0avgdata 92856maxresident)k;0inputs+128outputs;(0major+14410minor)pagefaults;0swaps
smteta_varAddition_47.st;1.22;0.05;0:00.80;158%;(0avgtext+0avgdata 94644maxresident)k;0inputs+160outputs;(0major+14916minor)pagefaults;0swaps
