identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_varDivision_001.st;0.93;0.10;0:00.76;134%;(0avgtext+0avgdata 87280maxresident)k;0inputs+80outputs;(0major+13258minor)pagefaults;0swaps
nuXmv_varDivision_002.st;0.95;0.05;0:00.52;189%;(0avgtext+0avgdata 86644maxresident)k;0inputs+80outputs;(0major+12794minor)pagefaults;0swaps
nuXmv_varDivision_003.st;0.94;0.08;0:00.52;195%;(0avgtext+0avgdata 88224maxresident)k;0inputs+80outputs;(0major+13326minor)pagefaults;0swaps
nuXmv_varDivision_004.st;0.94;0.06;0:00.50;199%;(0avgtext+0avgdata 89696maxresident)k;0inputs+80outputs;(0major+13834minor)pagefaults;0swaps
nuXmv_varDivision_005.st;0.97;0.04;0:00.50;202%;(0avgtext+0avgdata 89152maxresident)k;0inputs+80outputs;(0major+13556minor)pagefaults;0swaps
nuXmv_varDivision_006.st;0.96;0.06;0:00.53;193%;(0avgtext+0avgdata 85976maxresident)k;0inputs+80outputs;(0major+13859minor)pagefaults;0swaps
nuXmv_varDivision_007.st;0.96;0.08;0:00.53;195%;(0avgtext+0avgdata 88760maxresident)k;0inputs+80outputs;(0major+13860minor)pagefaults;0swaps
nuXmv_varDivision_008.st;0.93;0.06;0:00.50;200%;(0avgtext+0avgdata 84652maxresident)k;0inputs+80outputs;(0major+12957minor)pagefaults;0swaps
nuXmv_varDivision_009.st;0.97;0.05;0:00.50;203%;(0avgtext+0avgdata 85176maxresident)k;0inputs+80outputs;(0major+13355minor)pagefaults;0swaps
nuXmv_varDivision_010.st;0.94;0.09;0:00.50;205%;(0avgtext+0avgdata 86212maxresident)k;0inputs+80outputs;(0major+13800minor)pagefaults;0swaps
nuXmv_varDivision_011.st;1.01;0.07;0:00.54;198%;(0avgtext+0avgdata 87212maxresident)k;0inputs+88outputs;(0major+13949minor)pagefaults;0swaps
nuXmv_varDivision_012.st;0.96;0.06;0:00.50;203%;(0avgtext+0avgdata 89916maxresident)k;0inputs+88outputs;(0major+13529minor)pagefaults;0swaps
nuXmv_varDivision_013.st;0.95;0.10;0:00.51;206%;(0avgtext+0avgdata 89120maxresident)k;0inputs+88outputs;(0major+13400minor)pagefaults;0swaps
nuXmv_varDivision_014.st;1.01;0.05;0:00.52;204%;(0avgtext+0avgdata 87472maxresident)k;0inputs+88outputs;(0major+13746minor)pagefaults;0swaps
