identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_varAddition_100.st;1.58;0.09;0:00.80;208%;(0avgtext+0avgdata 110948maxresident)k;16inputs+192outputs;(0major+18945minor)pagefaults;0swaps
smteta_varAddition_10.st;0.90;0.05;0:00.49;192%;(0avgtext+0avgdata 81620maxresident)k;16inputs+80outputs;(0major+11612minor)pagefaults;0swaps
smteta_varAddition_11.st;0.95;0.05;0:00.49;204%;(0avgtext+0avgdata 79864maxresident)k;16inputs+88outputs;(0major+12352minor)pagefaults;0swaps
smteta_varAddition_12.st;0.96;0.02;0:00.49;199%;(0avgtext+0avgdata 81328maxresident)k;16inputs+88outputs;(0major+12436minor)pagefaults;0swaps
smteta_varAddition_13.st;0.89;0.05;0:00.49;190%;(0avgtext+0avgdata 82544maxresident)k;16inputs+88outputs;(0major+11802minor)pagefaults;0swaps
smteta_varAddition_14.st;0.98;0.04;0:00.48;211%;(0avgtext+0avgdata 84504maxresident)k;16inputs+88outputs;(0major+12312minor)pagefaults;0swaps
smteta_varAddition_15.st;0.93;0.04;0:00.48;203%;(0avgtext+0avgdata 83160maxresident)k;16inputs+88outputs;(0major+11444minor)pagefaults;0swaps
smteta_varAddition_16.st;0.90;0.05;0:00.48;197%;(0avgtext+0avgdata 83132maxresident)k;16inputs+88outputs;(0major+11822minor)pagefaults;0swaps
smteta_varAddition_17.st;0.95;0.04;0:00.50;198%;(0avgtext+0avgdata 82472maxresident)k;16inputs+88outputs;(0major+12179minor)pagefaults;0swaps
smteta_varAddition_18.st;1.02;0.03;0:00.49;213%;(0avgtext+0avgdata 83856maxresident)k;16inputs+96outputs;(0major+12661minor)pagefaults;0swaps
smteta_varAddition_19.st;1.00;0.05;0:00.51;205%;(0avgtext+0avgdata 86220maxresident)k;16inputs+96outputs;(0major+11692minor)pagefaults;0swaps
smteta_varAddition_1.st;0.83;0.07;0:00.46;197%;(0avgtext+0avgdata 83220maxresident)k;16inputs+72outputs;(0major+11972minor)pagefaults;0swaps
smteta_varAddition_20.st;0.98;0.03;0:00.48;210%;(0avgtext+0avgdata 85596maxresident)k;16inputs+96outputs;(0major+11963minor)pagefaults;0swaps
smteta_varAddition_21.st;1.03;0.03;0:00.50;211%;(0avgtext+0avgdata 85228maxresident)k;16inputs+128outputs;(0major+11932minor)pagefaults;0swaps
smteta_varAddition_22.st;0.98;0.05;0:00.50;205%;(0avgtext+0avgdata 87736maxresident)k;16inputs+96outputs;(0major+11917minor)pagefaults;0swaps
smteta_varAddition_23.st;0.96;0.09;0:00.52;202%;(0avgtext+0avgdata 83028maxresident)k;16inputs+96outputs;(0major+12392minor)pagefaults;0swaps
smteta_varAddition_24.st;1.07;0.04;0:00.51;214%;(0avgtext+0avgdata 86324maxresident)k;16inputs+104outputs;(0major+12451minor)pagefaults;0swaps
smteta_varAddition_25.st;1.02;0.03;0:00.49;212%;(0avgtext+0avgdata 85836maxresident)k;16inputs+104outputs;(0major+12138minor)pagefaults;0swaps
smteta_varAddition_26.st;1.03;0.06;0:00.55;200%;(0avgtext+0avgdata 79252maxresident)k;16inputs+104outputs;(0major+12420minor)pagefaults;0swaps
smteta_varAddition_27.st;1.07;0.03;0:00.50;218%;(0avgtext+0avgdata 86732maxresident)k;16inputs+104outputs;(0major+12234minor)pagefaults;0swaps
smteta_varAddition_28.st;1.04;0.07;0:00.51;217%;(0avgtext+0avgdata 88376maxresident)k;16inputs+104outputs;(0major+12098minor)pagefaults;0swaps
smteta_varAddition_29.st;1.02;0.06;0:00.52;205%;(0avgtext+0avgdata 86964maxresident)k;16inputs+104outputs;(0major+12270minor)pagefaults;0swaps
smteta_varAddition_2.st;0.88;0.05;0:00.48;190%;(0avgtext+0avgdata 80368maxresident)k;16inputs+72outputs;(0major+12002minor)pagefaults;0swaps
smteta_varAddition_30.st;0.98;0.06;0:00.51;205%;(0avgtext+0avgdata 85032maxresident)k;16inputs+104outputs;(0major+11907minor)pagefaults;0swaps
smteta_varAddition_31.st;1.03;0.04;0:00.52;206%;(0avgtext+0avgdata 83672maxresident)k;16inputs+112outputs;(0major+11467minor)pagefaults;0swaps
smteta_varAddition_32.st;1.13;0.07;0:00.53;227%;(0avgtext+0avgdata 87008maxresident)k;16inputs+112outputs;(0major+13833minor)pagefaults;0swaps
smteta_varAddition_33.st;1.14;0.03;0:00.53;221%;(0avgtext+0avgdata 83556maxresident)k;16inputs+112outputs;(0major+11848minor)pagefaults;0swaps
smteta_varAddition_34.st;1.10;0.07;0:00.54;216%;(0avgtext+0avgdata 89364maxresident)k;16inputs+112outputs;(0major+13947minor)pagefaults;0swaps
smteta_varAddition_35.st;1.19;0.06;0:00.54;231%;(0avgtext+0avgdata 91980maxresident)k;16inputs+112outputs;(0major+15738minor)pagefaults;0swaps
smteta_varAddition_36.st;1.09;0.05;0:00.52;220%;(0avgtext+0avgdata 90392maxresident)k;16inputs+112outputs;(0major+12199minor)pagefaults;0swaps
smteta_varAddition_37.st;1.15;0.05;0:00.55;218%;(0avgtext+0avgdata 94636maxresident)k;16inputs+112outputs;(0major+14438minor)pagefaults;0swaps
smteta_varAddition_38.st;1.22;0.02;0:00.53;233%;(0avgtext+0avgdata 87752maxresident)k;16inputs+120outputs;(0major+14745minor)pagefaults;0swaps
smteta_varAddition_39.st;1.01;0.06;0:00.51;210%;(0avgtext+0avgdata 85132maxresident)k;16inputs+120outputs;(0major+11928minor)pagefaults;0swaps
smteta_varAddition_3.st;0.86;0.06;0:00.46;200%;(0avgtext+0avgdata 82268maxresident)k;16inputs+72outputs;(0major+12447minor)pagefaults;0swaps
smteta_varAddition_40.st;1.17;0.05;0:00.56;218%;(0avgtext+0avgdata 86192maxresident)k;16inputs+120outputs;(0major+14412minor)pagefaults;0swaps
smteta_varAddition_41.st;1.16;0.05;0:00.53;225%;(0avgtext+0avgdata 95396maxresident)k;16inputs+120outputs;(0major+14993minor)pagefaults;0swaps
smteta_varAddition_42.st;1.08;0.07;0:00.54;212%;(0avgtext+0avgdata 97332maxresident)k;16inputs+120outputs;(0major+15044minor)pagefaults;0swaps
smteta_varAddition_43.st;1.14;0.07;0:00.52;233%;(0avgtext+0avgdata 94024maxresident)k;16inputs+120outputs;(0major+14744minor)pagefaults;0swaps
smteta_varAddition_44.st;1.13;0.06;0:00.52;231%;(0avgtext+0avgdata 92280maxresident)k;16inputs+128outputs;(0major+14908minor)pagefaults;0swaps
smteta_varAddition_45.st;1.16;0.05;0:00.52;233%;(0avgtext+0avgdata 94616maxresident)k;16inputs+128outputs;(0major+15352minor)pagefaults;0swaps
smteta_varAddition_46.st;1.04;0.05;0:00.51;215%;(0avgtext+0avgdata 87388maxresident)k;16inputs+128outputs;(0major+12430minor)pagefaults;0swaps
smteta_varAddition_47.st;1.18;0.05;0:00.52;235%;(0avgtext+0avgdata 92752maxresident)k;16inputs+128outputs;(0major+14375minor)pagefaults;0swaps
smteta_varAddition_48.st;1.23;0.03;0:00.54;234%;(0avgtext+0avgdata 96348maxresident)k;16inputs+128outputs;(0major+15839minor)pagefaults;0swaps
smteta_varAddition_49.st;1.19;0.03;0:00.53;227%;(0avgtext+0avgdata 94092maxresident)k;16inputs+128outputs;(0major+15288minor)pagefaults;0swaps
smteta_varAddition_4.st;0.85;0.04;0:00.45;195%;(0avgtext+0avgdata 82476maxresident)k;16inputs+80outputs;(0major+11226minor)pagefaults;0swaps
