identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constMultiplication_001.st;0.98;0.06;0:00.65;161%;(0avgtext+0avgdata 87168maxresident)k;0inputs+96outputs;(0major+17780minor)pagefaults;0swaps
nuXmv_constMultiplication_002.st;2.18;0.03;0:01.69;130%;(0avgtext+0avgdata 90076maxresident)k;0inputs+96outputs;(0major+20370minor)pagefaults;0swaps
nuXmv_constMultiplication_003.st;2.70;0.08;0:02.29;121%;(0avgtext+0avgdata 88312maxresident)k;0inputs+96outputs;(0major+22874minor)pagefaults;0swaps
nuXmv_constMultiplication_004.st;3.90;0.05;0:03.41;115%;(0avgtext+0avgdata 89524maxresident)k;0inputs+96outputs;(0major+25426minor)pagefaults;0swaps
nuXmv_constMultiplication_005.st;17.42;0.07;0:16.98;103%;(0avgtext+0avgdata 87156maxresident)k;0inputs+96outputs;(0major+26908minor)pagefaults;0swaps
nuXmv_constMultiplication_006.st;3.39;0.07;0:02.95;117%;(0avgtext+0avgdata 88076maxresident)k;0inputs+88outputs;(0major+27752minor)pagefaults;0swaps
nuXmv_constMultiplication_007.st;1.14;0.05;0:00.69;172%;(0avgtext+0avgdata 86624maxresident)k;0inputs+96outputs;(0major+21429minor)pagefaults;0swaps
nuXmv_constMultiplication_008.st;3.61;0.07;0:03.18;115%;(0avgtext+0avgdata 90004maxresident)k;0inputs+96outputs;(0major+30099minor)pagefaults;0swaps
nuXmv_constMultiplication_009.st;1.49;0.07;0:01.03;152%;(0avgtext+0avgdata 89664maxresident)k;0inputs+96outputs;(0major+27083minor)pagefaults;0swaps
nuXmv_constMultiplication_010.st;75.07;0.12;1:14.63;100%;(0avgtext+0avgdata 160188maxresident)k;0inputs+160outputs;(0major+37893minor)pagefaults;0swaps
nuXmv_constMultiplication_011.st;95.81;0.12;1:35.35;100%;(0avgtext+0avgdata 154080maxresident)k;0inputs+160outputs;(0major+44127minor)pagefaults;0swaps
nuXmv_constMultiplication_012.st;1.98;0.06;0:01.55;131%;(0avgtext+0avgdata 93136maxresident)k;0inputs+96outputs;(0major+32915minor)pagefaults;0swaps
nuXmv_constMultiplication_013.st;1.36;0.09;0:00.93;155%;(0avgtext+0avgdata 87900maxresident)k;0inputs+96outputs;(0major+25754minor)pagefaults;0swaps
