identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_varAddition_001.st;0.75;0.05;0:00.55;145%;(0avgtext+0avgdata 78924maxresident)k;0inputs+72outputs;(0major+11397minor)pagefaults;0swaps
smteta_varAddition_002.st;0.85;0.06;0:00.47;194%;(0avgtext+0avgdata 82700maxresident)k;0inputs+72outputs;(0major+12003minor)pagefaults;0swaps
smteta_varAddition_003.st;0.86;0.04;0:00.46;198%;(0avgtext+0avgdata 81040maxresident)k;0inputs+72outputs;(0major+12443minor)pagefaults;0swaps
smteta_varAddition_004.st;0.85;0.03;0:00.44;200%;(0avgtext+0avgdata 85500maxresident)k;0inputs+72outputs;(0major+11442minor)pagefaults;0swaps
smteta_varAddition_005.st;0.83;0.06;0:00.44;203%;(0avgtext+0avgdata 84196maxresident)k;0inputs+72outputs;(0major+12159minor)pagefaults;0swaps
smteta_varAddition_006.st;0.87;0.04;0:00.46;197%;(0avgtext+0avgdata 81552maxresident)k;0inputs+72outputs;(0major+11759minor)pagefaults;0swaps
smteta_varAddition_007.st;0.87;0.03;0:00.47;191%;(0avgtext+0avgdata 83184maxresident)k;0inputs+104outputs;(0major+12431minor)pagefaults;0swaps
smteta_varAddition_008.st;0.78;0.05;0:00.44;190%;(0avgtext+0avgdata 82608maxresident)k;0inputs+72outputs;(0major+11759minor)pagefaults;0swaps
smteta_varAddition_009.st;0.84;0.04;0:00.45;195%;(0avgtext+0avgdata 82176maxresident)k;0inputs+72outputs;(0major+12223minor)pagefaults;0swaps
smteta_varAddition_010.st;0.86;0.07;0:00.45;205%;(0avgtext+0avgdata 83252maxresident)k;0inputs+72outputs;(0major+12019minor)pagefaults;0swaps
smteta_varAddition_011.st;0.94;0.03;0:00.47;205%;(0avgtext+0avgdata 82988maxresident)k;0inputs+80outputs;(0major+12225minor)pagefaults;0swaps
smteta_varAddition_012.st;0.81;0.06;0:00.45;193%;(0avgtext+0avgdata 83864maxresident)k;0inputs+80outputs;(0major+12156minor)pagefaults;0swaps
smteta_varAddition_013.st;0.90;0.04;0:00.46;206%;(0avgtext+0avgdata 85020maxresident)k;0inputs+80outputs;(0major+12004minor)pagefaults;0swaps
smteta_varAddition_014.st;0.90;0.04;0:00.46;206%;(0avgtext+0avgdata 82732maxresident)k;0inputs+80outputs;(0major+11776minor)pagefaults;0swaps
smteta_varAddition_015.st;0.92;0.03;0:00.46;209%;(0avgtext+0avgdata 82492maxresident)k;0inputs+80outputs;(0major+11956minor)pagefaults;0swaps
smteta_varAddition_016.st;0.88;0.03;0:00.45;203%;(0avgtext+0avgdata 82060maxresident)k;0inputs+80outputs;(0major+11993minor)pagefaults;0swaps
smteta_varAddition_017.st;0.90;0.05;0:00.46;206%;(0avgtext+0avgdata 82628maxresident)k;0inputs+80outputs;(0major+12237minor)pagefaults;0swaps
smteta_varAddition_018.st;0.89;0.03;0:00.46;200%;(0avgtext+0avgdata 84692maxresident)k;0inputs+80outputs;(0major+12265minor)pagefaults;0swaps
smteta_varAddition_019.st;0.94;0.04;0:00.46;215%;(0avgtext+0avgdata 85260maxresident)k;0inputs+80outputs;(0major+12676minor)pagefaults;0swaps
smteta_varAddition_020.st;0.89;0.08;0:00.46;209%;(0avgtext+0avgdata 87420maxresident)k;0inputs+80outputs;(0major+11967minor)pagefaults;0swaps
smteta_varAddition_021.st;0.90;0.05;0:00.45;208%;(0avgtext+0avgdata 79052maxresident)k;0inputs+80outputs;(0major+11420minor)pagefaults;0swaps
smteta_varAddition_022.st;0.90;0.05;0:00.46;204%;(0avgtext+0avgdata 83488maxresident)k;0inputs+80outputs;(0major+11914minor)pagefaults;0swaps
smteta_varAddition_023.st;0.96;0.03;0:00.47;212%;(0avgtext+0avgdata 84712maxresident)k;0inputs+80outputs;(0major+12446minor)pagefaults;0swaps
smteta_varAddition_024.st;0.97;0.05;0:00.47;216%;(0avgtext+0avgdata 84220maxresident)k;0inputs+80outputs;(0major+12337minor)pagefaults;0swaps
smteta_varAddition_025.st;0.92;0.05;0:00.46;211%;(0avgtext+0avgdata 82000maxresident)k;0inputs+88outputs;(0major+12074minor)pagefaults;0swaps
smteta_varAddition_026.st;0.92;0.05;0:00.46;208%;(0avgtext+0avgdata 83324maxresident)k;0inputs+88outputs;(0major+11495minor)pagefaults;0swaps
smteta_varAddition_027.st;0.91;0.03;0:00.47;200%;(0avgtext+0avgdata 80932maxresident)k;0inputs+88outputs;(0major+11366minor)pagefaults;0swaps
smteta_varAddition_028.st;0.93;0.05;0:00.47;205%;(0avgtext+0avgdata 83224maxresident)k;0inputs+88outputs;(0major+12442minor)pagefaults;0swaps
smteta_varAddition_029.st;0.95;0.07;0:00.48;213%;(0avgtext+0avgdata 84176maxresident)k;0inputs+88outputs;(0major+12973minor)pagefaults;0swaps
smteta_varAddition_030.st;1.00;0.03;0:00.48;215%;(0avgtext+0avgdata 84124maxresident)k;0inputs+88outputs;(0major+12702minor)pagefaults;0swaps
smteta_varAddition_031.st;0.92;0.02;0:00.47;200%;(0avgtext+0avgdata 80448maxresident)k;0inputs+88outputs;(0major+11135minor)pagefaults;0swaps
smteta_varAddition_032.st;1.00;0.05;0:00.47;220%;(0avgtext+0avgdata 84616maxresident)k;0inputs+88outputs;(0major+12761minor)pagefaults;0swaps
smteta_varAddition_033.st;1.09;0.06;0:00.52;221%;(0avgtext+0avgdata 90524maxresident)k;0inputs+88outputs;(0major+14481minor)pagefaults;0swaps
smteta_varAddition_034.st;1.05;0.03;0:00.48;222%;(0avgtext+0avgdata 85308maxresident)k;0inputs+120outputs;(0major+12251minor)pagefaults;0swaps
smteta_varAddition_035.st;0.98;0.07;0:00.48;219%;(0avgtext+0avgdata 86388maxresident)k;0inputs+88outputs;(0major+11991minor)pagefaults;0swaps
smteta_varAddition_036.st;0.96;0.05;0:00.48;209%;(0avgtext+0avgdata 85956maxresident)k;0inputs+88outputs;(0major+12632minor)pagefaults;0swaps
