identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constDivision_001.st;0.84;0.07;0:00.57;159%;(0avgtext+0avgdata 84048maxresident)k;0inputs+72outputs;(0major+12365minor)pagefaults;0swaps
smteta_constDivision_002.st;0.77;0.05;0:00.45;182%;(0avgtext+0avgdata 82692maxresident)k;0inputs+72outputs;(0major+11693minor)pagefaults;0swaps
smteta_constDivision_003.st;0.80;0.03;0:00.44;189%;(0avgtext+0avgdata 82652maxresident)k;0inputs+72outputs;(0major+11803minor)pagefaults;0swaps
smteta_constDivision_004.st;0.79;0.04;0:00.44;187%;(0avgtext+0avgdata 81552maxresident)k;0inputs+104outputs;(0major+12095minor)pagefaults;0swaps
smteta_constDivision_005.st;0.80;0.03;0:00.44;190%;(0avgtext+0avgdata 83692maxresident)k;0inputs+72outputs;(0major+11590minor)pagefaults;0swaps
smteta_constDivision_006.st;0.81;0.03;0:00.44;188%;(0avgtext+0avgdata 82544maxresident)k;0inputs+72outputs;(0major+11747minor)pagefaults;0swaps
smteta_constDivision_007.st;0.82;0.06;0:00.45;194%;(0avgtext+0avgdata 84608maxresident)k;0inputs+72outputs;(0major+12512minor)pagefaults;0swaps
smteta_constDivision_008.st;0.88;0.04;0:00.46;201%;(0avgtext+0avgdata 83468maxresident)k;0inputs+72outputs;(0major+12448minor)pagefaults;0swaps
smteta_constDivision_009.st;0.85;0.05;0:00.48;187%;(0avgtext+0avgdata 81220maxresident)k;0inputs+72outputs;(0major+11844minor)pagefaults;0swaps
smteta_constDivision_010.st;0.84;0.05;0:00.49;178%;(0avgtext+0avgdata 80732maxresident)k;0inputs+72outputs;(0major+11245minor)pagefaults;0swaps
smteta_constDivision_011.st;0.91;0.04;0:00.47;203%;(0avgtext+0avgdata 83272maxresident)k;0inputs+72outputs;(0major+12705minor)pagefaults;0swaps
smteta_constDivision_012.st;0.83;0.05;0:00.47;187%;(0avgtext+0avgdata 84248maxresident)k;0inputs+80outputs;(0major+11567minor)pagefaults;0swaps
smteta_constDivision_013.st;0.88;0.06;0:00.46;204%;(0avgtext+0avgdata 81268maxresident)k;0inputs+112outputs;(0major+12247minor)pagefaults;0swaps
smteta_constDivision_014.st;0.84;0.06;0:00.46;194%;(0avgtext+0avgdata 81148maxresident)k;0inputs+80outputs;(0major+11992minor)pagefaults;0swaps
smteta_constDivision_015.st;0.90;0.05;0:00.46;204%;(0avgtext+0avgdata 86168maxresident)k;0inputs+80outputs;(0major+12288minor)pagefaults;0swaps
