identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constAddition_001.st;0.94;0.05;0:00.65;152%;(0avgtext+0avgdata 87096maxresident)k;0inputs+96outputs;(0major+18080minor)pagefaults;0swaps
nuXmv_constAddition_002.st;0.99;0.07;0:00.56;189%;(0avgtext+0avgdata 89012maxresident)k;0inputs+160outputs;(0major+17920minor)pagefaults;0swaps
nuXmv_constAddition_003.st;1.03;0.07;0:00.58;189%;(0avgtext+0avgdata 83468maxresident)k;0inputs+96outputs;(0major+19019minor)pagefaults;0swaps
nuXmv_constAddition_004.st;1.03;0.06;0:00.58;186%;(0avgtext+0avgdata 88164maxresident)k;0inputs+96outputs;(0major+18955minor)pagefaults;0swaps
nuXmv_constAddition_005.st;1.05;0.06;0:00.62;181%;(0avgtext+0avgdata 86772maxresident)k;0inputs+96outputs;(0major+19578minor)pagefaults;0swaps
nuXmv_constAddition_006.st;1.16;0.04;0:00.68;177%;(0avgtext+0avgdata 85452maxresident)k;0inputs+96outputs;(0major+19570minor)pagefaults;0swaps
nuXmv_constAddition_007.st;1.17;0.05;0:00.69;175%;(0avgtext+0avgdata 88716maxresident)k;0inputs+96outputs;(0major+21293minor)pagefaults;0swaps
nuXmv_constAddition_008.st;1.25;0.07;0:00.81;163%;(0avgtext+0avgdata 86572maxresident)k;0inputs+96outputs;(0major+21884minor)pagefaults;0swaps
nuXmv_constAddition_009.st;1.50;0.05;0:01.02;151%;(0avgtext+0avgdata 81996maxresident)k;0inputs+96outputs;(0major+20590minor)pagefaults;0swaps
nuXmv_constAddition_010.st;1.51;0.07;0:01.07;147%;(0avgtext+0avgdata 88540maxresident)k;0inputs+96outputs;(0major+22218minor)pagefaults;0swaps
nuXmv_constAddition_011.st;1.97;0.07;0:01.50;136%;(0avgtext+0avgdata 85340maxresident)k;0inputs+96outputs;(0major+22763minor)pagefaults;0swaps
nuXmv_constAddition_012.st;1.90;0.05;0:01.42;138%;(0avgtext+0avgdata 82480maxresident)k;0inputs+96outputs;(0major+23051minor)pagefaults;0swaps
nuXmv_constAddition_013.st;1.88;0.07;0:01.41;138%;(0avgtext+0avgdata 88252maxresident)k;0inputs+96outputs;(0major+26013minor)pagefaults;0swaps
nuXmv_constAddition_014.st;2.35;0.07;0:01.89;128%;(0avgtext+0avgdata 86840maxresident)k;0inputs+96outputs;(0major+25150minor)pagefaults;0swaps
nuXmv_constAddition_015.st;1.65;0.09;0:01.19;145%;(0avgtext+0avgdata 86844maxresident)k;0inputs+104outputs;(0major+26307minor)pagefaults;0swaps
nuXmv_constAddition_016.st;3.45;0.07;0:02.99;118%;(0avgtext+0avgdata 89840maxresident)k;0inputs+104outputs;(0major+24620minor)pagefaults;0swaps
nuXmv_constAddition_017.st;3.57;0.08;0:03.08;118%;(0avgtext+0avgdata 86300maxresident)k;0inputs+168outputs;(0major+25218minor)pagefaults;0swaps
nuXmv_constAddition_018.st;3.03;0.10;0:02.57;122%;(0avgtext+0avgdata 88172maxresident)k;0inputs+192outputs;(0major+26815minor)pagefaults;0swaps
nuXmv_constAddition_019.st;2.96;0.06;0:02.46;122%;(0avgtext+0avgdata 90004maxresident)k;0inputs+104outputs;(0major+26023minor)pagefaults;0swaps
nuXmv_constAddition_020.st;4.67;0.07;0:04.16;113%;(0avgtext+0avgdata 88324maxresident)k;0inputs+104outputs;(0major+27170minor)pagefaults;0swaps
nuXmv_constAddition_021.st;2.37;0.09;0:01.87;131%;(0avgtext+0avgdata 88704maxresident)k;0inputs+104outputs;(0major+27103minor)pagefaults;0swaps
nuXmv_constAddition_022.st;5.51;0.08;0:05.01;111%;(0avgtext+0avgdata 87688maxresident)k;0inputs+104outputs;(0major+28627minor)pagefaults;0swaps
nuXmv_constAddition_023.st;4.74;0.07;0:04.22;114%;(0avgtext+0avgdata 89808maxresident)k;0inputs+104outputs;(0major+30060minor)pagefaults;0swaps
nuXmv_constAddition_024.st;5.90;0.08;0:05.39;111%;(0avgtext+0avgdata 92488maxresident)k;0inputs+104outputs;(0major+31528minor)pagefaults;0swaps
