identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_varDivision_100.st;1.61;0.09;0:00.85;201%;(0avgtext+0avgdata 109456maxresident)k;0inputs+120outputs;(0major+20282minor)pagefaults;0swaps
nuXmv_varDivision_10.st;1.01;0.05;0:00.53;200%;(0avgtext+0avgdata 86816maxresident)k;0inputs+80outputs;(0major+13909minor)pagefaults;0swaps
nuXmv_varDivision_11.st;0.97;0.05;0:00.50;206%;(0avgtext+0avgdata 85228maxresident)k;0inputs+88outputs;(0major+13111minor)pagefaults;0swaps
nuXmv_varDivision_12.st;0.94;0.06;0:00.50;200%;(0avgtext+0avgdata 87788maxresident)k;0inputs+88outputs;(0major+13068minor)pagefaults;0swaps
nuXmv_varDivision_13.st;1.02;0.03;0:00.51;207%;(0avgtext+0avgdata 87740maxresident)k;0inputs+88outputs;(0major+14292minor)pagefaults;0swaps
nuXmv_varDivision_14.st;0.99;0.06;0:00.50;209%;(0avgtext+0avgdata 87520maxresident)k;0inputs+88outputs;(0major+14226minor)pagefaults;0swaps
nuXmv_varDivision_15.st;1.02;0.05;0:00.51;210%;(0avgtext+0avgdata 85568maxresident)k;0inputs+88outputs;(0major+13588minor)pagefaults;0swaps
nuXmv_varDivision_16.st;1.03;0.05;0:00.51;212%;(0avgtext+0avgdata 80184maxresident)k;0inputs+88outputs;(0major+13037minor)pagefaults;0swaps
nuXmv_varDivision_17.st;0.99;0.08;0:00.52;205%;(0avgtext+0avgdata 88384maxresident)k;0inputs+88outputs;(0major+13207minor)pagefaults;0swaps
nuXmv_varDivision_18.st;1.03;0.08;0:00.56;197%;(0avgtext+0avgdata 87156maxresident)k;0inputs+88outputs;(0major+13410minor)pagefaults;0swaps
nuXmv_varDivision_19.st;1.01;0.08;0:00.55;200%;(0avgtext+0avgdata 85900maxresident)k;0inputs+88outputs;(0major+13365minor)pagefaults;0swaps
nuXmv_varDivision_1.st;0.89;0.09;0:00.48;202%;(0avgtext+0avgdata 86808maxresident)k;0inputs+80outputs;(0major+13920minor)pagefaults;0swaps
nuXmv_varDivision_20.st;1.02;0.05;0:00.51;211%;(0avgtext+0avgdata 86528maxresident)k;0inputs+88outputs;(0major+13206minor)pagefaults;0swaps
nuXmv_varDivision_21.st;1.05;0.05;0:00.51;212%;(0avgtext+0avgdata 85360maxresident)k;0inputs+88outputs;(0major+13039minor)pagefaults;0swaps
nuXmv_varDivision_22.st;1.09;0.06;0:00.56;204%;(0avgtext+0avgdata 88044maxresident)k;0inputs+88outputs;(0major+13822minor)pagefaults;0swaps
nuXmv_varDivision_23.st;1.06;0.04;0:00.52;213%;(0avgtext+0avgdata 87168maxresident)k;0inputs+88outputs;(0major+13490minor)pagefaults;0swaps
