identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constAddition_001.st;1.02;0.10;0:01.04;107%;(0avgtext+0avgdata 79832maxresident)k;0inputs+96outputs;(0major+17083minor)pagefaults;0swaps
nuXmv_constAddition_002.st;0.99;0.08;0:00.57;188%;(0avgtext+0avgdata 90360maxresident)k;0inputs+96outputs;(0major+18490minor)pagefaults;0swaps
nuXmv_constAddition_003.st;1.01;0.04;0:00.57;185%;(0avgtext+0avgdata 89868maxresident)k;0inputs+160outputs;(0major+18933minor)pagefaults;0swaps
nuXmv_constAddition_004.st;1.01;0.10;0:00.63;176%;(0avgtext+0avgdata 85124maxresident)k;0inputs+96outputs;(0major+18620minor)pagefaults;0swaps
nuXmv_constAddition_005.st;1.10;0.04;0:00.66;172%;(0avgtext+0avgdata 87900maxresident)k;0inputs+96outputs;(0major+20179minor)pagefaults;0swaps
nuXmv_constAddition_006.st;1.18;0.04;0:00.72;167%;(0avgtext+0avgdata 85332maxresident)k;0inputs+96outputs;(0major+19952minor)pagefaults;0swaps
nuXmv_constAddition_007.st;1.16;0.06;0:00.71;170%;(0avgtext+0avgdata 85152maxresident)k;0inputs+96outputs;(0major+20578minor)pagefaults;0swaps
nuXmv_constAddition_008.st;1.16;0.11;0:00.76;167%;(0avgtext+0avgdata 86900maxresident)k;0inputs+96outputs;(0major+20525minor)pagefaults;0swaps
nuXmv_constAddition_009.st;1.34;0.07;0:00.89;158%;(0avgtext+0avgdata 87572maxresident)k;0inputs+96outputs;(0major+20883minor)pagefaults;0swaps
nuXmv_constAddition_010.st;1.27;0.07;0:00.85;158%;(0avgtext+0avgdata 86992maxresident)k;0inputs+96outputs;(0major+21188minor)pagefaults;0swaps
nuXmv_constAddition_011.st;1.72;0.06;0:01.27;141%;(0avgtext+0avgdata 87156maxresident)k;0inputs+96outputs;(0major+22928minor)pagefaults;0swaps
nuXmv_constAddition_012.st;1.66;0.06;0:01.21;142%;(0avgtext+0avgdata 87760maxresident)k;0inputs+96outputs;(0major+20889minor)pagefaults;0swaps
nuXmv_constAddition_013.st;2.07;0.07;0:01.59;133%;(0avgtext+0avgdata 88296maxresident)k;0inputs+96outputs;(0major+26166minor)pagefaults;0swaps
nuXmv_constAddition_014.st;1.87;0.07;0:01.39;139%;(0avgtext+0avgdata 85332maxresident)k;0inputs+96outputs;(0major+25979minor)pagefaults;0swaps
nuXmv_constAddition_015.st;2.47;0.07;0:02.02;126%;(0avgtext+0avgdata 88116maxresident)k;0inputs+96outputs;(0major+26405minor)pagefaults;0swaps
nuXmv_constAddition_016.st;3.07;0.08;0:02.64;119%;(0avgtext+0avgdata 87640maxresident)k;0inputs+104outputs;(0major+25635minor)pagefaults;0swaps
nuXmv_constAddition_017.st;2.74;0.07;0:02.28;123%;(0avgtext+0avgdata 87572maxresident)k;0inputs+104outputs;(0major+25653minor)pagefaults;0swaps
nuXmv_constAddition_018.st;2.85;0.08;0:02.40;122%;(0avgtext+0avgdata 83364maxresident)k;0inputs+168outputs;(0major+25891minor)pagefaults;0swaps
nuXmv_constAddition_019.st;2.97;0.08;0:02.50;122%;(0avgtext+0avgdata 80904maxresident)k;0inputs+104outputs;(0major+26743minor)pagefaults;0swaps
nuXmv_constAddition_020.st;5.01;0.09;0:04.54;112%;(0avgtext+0avgdata 85900maxresident)k;0inputs+104outputs;(0major+28785minor)pagefaults;0swaps
nuXmv_constAddition_021.st;3.21;0.08;0:02.71;121%;(0avgtext+0avgdata 90488maxresident)k;0inputs+104outputs;(0major+27389minor)pagefaults;0swaps
nuXmv_constAddition_022.st;5.28;0.07;0:04.78;112%;(0avgtext+0avgdata 89780maxresident)k;0inputs+104outputs;(0major+29647minor)pagefaults;0swaps
nuXmv_constAddition_023.st;5.56;0.10;0:05.10;111%;(0avgtext+0avgdata 91420maxresident)k;0inputs+104outputs;(0major+29108minor)pagefaults;0swaps
nuXmv_constAddition_024.st;4.94;0.14;0:04.49;113%;(0avgtext+0avgdata 89804maxresident)k;0inputs+104outputs;(0major+30116minor)pagefaults;0swaps
nuXmv_constAddition_025.st;4.36;0.10;0:03.89;114%;(0avgtext+0avgdata 91300maxresident)k;0inputs+104outputs;(0major+31754minor)pagefaults;0swaps
