identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_constMultiplication_001.st;0.86;0.04;0:00.50;179%;(0avgtext+0avgdata 84724maxresident)k;0inputs+72outputs;(0major+12420minor)pagefaults;0swaps
smteta_constMultiplication_002.st;0.79;0.04;0:00.43;195%;(0avgtext+0avgdata 81152maxresident)k;0inputs+72outputs;(0major+11872minor)pagefaults;0swaps
smteta_constMultiplication_003.st;0.86;0.04;0:00.43;205%;(0avgtext+0avgdata 82812maxresident)k;0inputs+72outputs;(0major+11971minor)pagefaults;0swaps
smteta_constMultiplication_004.st;0.87;0.01;0:00.43;203%;(0avgtext+0avgdata 81380maxresident)k;0inputs+72outputs;(0major+11504minor)pagefaults;0swaps
smteta_constMultiplication_005.st;0.86;0.05;0:00.44;205%;(0avgtext+0avgdata 80048maxresident)k;0inputs+72outputs;(0major+11935minor)pagefaults;0swaps
smteta_constMultiplication_006.st;0.84;0.06;0:00.43;206%;(0avgtext+0avgdata 84212maxresident)k;0inputs+72outputs;(0major+11894minor)pagefaults;0swaps
smteta_constMultiplication_007.st;0.84;0.05;0:00.44;200%;(0avgtext+0avgdata 84812maxresident)k;0inputs+72outputs;(0major+12099minor)pagefaults;0swaps
smteta_constMultiplication_008.st;0.82;0.03;0:00.46;185%;(0avgtext+0avgdata 84600maxresident)k;0inputs+72outputs;(0major+11308minor)pagefaults;0swaps
smteta_constMultiplication_009.st;0.87;0.05;0:00.46;202%;(0avgtext+0avgdata 82908maxresident)k;0inputs+136outputs;(0major+12393minor)pagefaults;0swaps
smteta_constMultiplication_010.st;0.81;0.05;0:00.45;192%;(0avgtext+0avgdata 82612maxresident)k;0inputs+72outputs;(0major+11806minor)pagefaults;0swaps
smteta_constMultiplication_011.st;0.89;0.03;0:00.46;202%;(0avgtext+0avgdata 80648maxresident)k;0inputs+80outputs;(0major+12264minor)pagefaults;0swaps
smteta_constMultiplication_012.st;0.86;0.08;0:00.46;202%;(0avgtext+0avgdata 85172maxresident)k;0inputs+80outputs;(0major+12677minor)pagefaults;0swaps
smteta_constMultiplication_013.st;0.91;0.05;0:00.48;200%;(0avgtext+0avgdata 83904maxresident)k;0inputs+80outputs;(0major+11848minor)pagefaults;0swaps
smteta_constMultiplication_014.st;0.88;0.03;0:00.48;189%;(0avgtext+0avgdata 85768maxresident)k;0inputs+80outputs;(0major+11601minor)pagefaults;0swaps
smteta_constMultiplication_015.st;0.93;0.04;0:00.46;210%;(0avgtext+0avgdata 86904maxresident)k;0inputs+80outputs;(0major+12837minor)pagefaults;0swaps
smteta_constMultiplication_016.st;0.94;0.03;0:00.47;204%;(0avgtext+0avgdata 81792maxresident)k;0inputs+80outputs;(0major+12281minor)pagefaults;0swaps
smteta_constMultiplication_017.st;0.84;0.06;0:00.46;196%;(0avgtext+0avgdata 80200maxresident)k;0inputs+80outputs;(0major+12231minor)pagefaults;0swaps
smteta_constMultiplication_018.st;0.93;0.04;0:00.51;190%;(0avgtext+0avgdata 82624maxresident)k;0inputs+80outputs;(0major+12243minor)pagefaults;0swaps
smteta_constMultiplication_019.st;0.93;0.04;0:00.48;200%;(0avgtext+0avgdata 81564maxresident)k;0inputs+80outputs;(0major+11499minor)pagefaults;0swaps
smteta_constMultiplication_020.st;0.88;0.05;0:00.46;200%;(0avgtext+0avgdata 85080maxresident)k;0inputs+80outputs;(0major+12361minor)pagefaults;0swaps
smteta_constMultiplication_021.st;0.88;0.04;0:00.46;198%;(0avgtext+0avgdata 84416maxresident)k;0inputs+80outputs;(0major+11665minor)pagefaults;0swaps
smteta_constMultiplication_022.st;0.87;0.06;0:00.47;199%;(0avgtext+0avgdata 84628maxresident)k;0inputs+80outputs;(0major+12298minor)pagefaults;0swaps
smteta_constMultiplication_023.st;0.88;0.04;0:00.46;202%;(0avgtext+0avgdata 84624maxresident)k;0inputs+80outputs;(0major+11669minor)pagefaults;0swaps
smteta_constMultiplication_024.st;0.93;0.05;0:00.46;210%;(0avgtext+0avgdata 83220maxresident)k;0inputs+80outputs;(0major+12405minor)pagefaults;0swaps
smteta_constMultiplication_025.st;0.99;0.05;0:00.48;215%;(0avgtext+0avgdata 86168maxresident)k;0inputs+88outputs;(0major+12691minor)pagefaults;0swaps
smteta_constMultiplication_026.st;0.99;0.06;0:00.50;207%;(0avgtext+0avgdata 82528maxresident)k;0inputs+88outputs;(0major+11916minor)pagefaults;0swaps
smteta_constMultiplication_027.st;0.93;0.06;0:00.48;207%;(0avgtext+0avgdata 82984maxresident)k;0inputs+88outputs;(0major+12471minor)pagefaults;0swaps
smteta_constMultiplication_028.st;0.96;0.03;0:00.48;204%;(0avgtext+0avgdata 83680maxresident)k;0inputs+88outputs;(0major+11499minor)pagefaults;0swaps
smteta_constMultiplication_029.st;1.00;0.04;0:00.49;211%;(0avgtext+0avgdata 83852maxresident)k;0inputs+88outputs;(0major+13143minor)pagefaults;0swaps
smteta_constMultiplication_030.st;0.98;0.02;0:00.48;209%;(0avgtext+0avgdata 83444maxresident)k;0inputs+88outputs;(0major+11958minor)pagefaults;0swaps
smteta_constMultiplication_031.st;0.94;0.05;0:00.48;207%;(0avgtext+0avgdata 86180maxresident)k;0inputs+88outputs;(0major+12117minor)pagefaults;0swaps
smteta_constMultiplication_032.st;1.02;0.05;0:00.48;220%;(0avgtext+0avgdata 90408maxresident)k;0inputs+88outputs;(0major+12675minor)pagefaults;0swaps
smteta_constMultiplication_033.st;1.02;0.06;0:00.49;221%;(0avgtext+0avgdata 92068maxresident)k;0inputs+88outputs;(0major+14275minor)pagefaults;0swaps
smteta_constMultiplication_034.st;1.00;0.06;0:00.52;205%;(0avgtext+0avgdata 85708maxresident)k;0inputs+88outputs;(0major+11845minor)pagefaults;0swaps
smteta_constMultiplication_035.st;1.05;0.04;0:00.49;221%;(0avgtext+0avgdata 86080maxresident)k;0inputs+88outputs;(0major+13474minor)pagefaults;0swaps
smteta_constMultiplication_036.st;1.06;0.03;0:00.48;227%;(0avgtext+0avgdata 92348maxresident)k;0inputs+88outputs;(0major+14242minor)pagefaults;0swaps
smteta_constMultiplication_037.st;1.02;0.05;0:00.49;217%;(0avgtext+0avgdata 84584maxresident)k;0inputs+88outputs;(0major+12544minor)pagefaults;0swaps
smteta_constMultiplication_038.st;1.06;0.04;0:00.49;223%;(0avgtext+0avgdata 96564maxresident)k;0inputs+88outputs;(0major+14793minor)pagefaults;0swaps
smteta_constMultiplication_039.st;1.09;0.04;0:00.49;228%;(0avgtext+0avgdata 92492maxresident)k;0inputs+88outputs;(0major+14314minor)pagefaults;0swaps
smteta_constMultiplication_040.st;1.05;0.05;0:00.49;224%;(0avgtext+0avgdata 93256maxresident)k;0inputs+96outputs;(0major+14558minor)pagefaults;0swaps
smteta_constMultiplication_041.st;1.11;0.05;0:00.49;233%;(0avgtext+0avgdata 92256maxresident)k;0inputs+96outputs;(0major+14226minor)pagefaults;0swaps
smteta_constMultiplication_042.st;1.12;0.04;0:00.50;232%;(0avgtext+0avgdata 94444maxresident)k;0inputs+96outputs;(0major+14879minor)pagefaults;0swaps
smteta_constMultiplication_043.st;1.08;0.04;0:00.50;226%;(0avgtext+0avgdata 95968maxresident)k;0inputs+96outputs;(0major+15221minor)pagefaults;0swaps
smteta_constMultiplication_044.st;1.08;0.05;0:00.49;228%;(0avgtext+0avgdata 96464maxresident)k;0inputs+96outputs;(0major+15710minor)pagefaults;0swaps
smteta_constMultiplication_045.st;1.12;0.04;0:00.50;232%;(0avgtext+0avgdata 92960maxresident)k;0inputs+96outputs;(0major+14824minor)pagefaults;0swaps
smteta_constMultiplication_046.st;1.07;0.06;0:00.50;227%;(0avgtext+0avgdata 94680maxresident)k;0inputs+96outputs;(0major+16001minor)pagefaults;0swaps
