identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_varDivision_001.st;0.76;0.05;0:00.45;180%;(0avgtext+0avgdata 83316maxresident)k;0inputs+72outputs;(0major+11426minor)pagefaults;0swaps
smteta_varDivision_002.st;0.85;0.02;0:00.44;199%;(0avgtext+0avgdata 87032maxresident)k;0inputs+72outputs;(0major+11831minor)pagefaults;0swaps
smteta_varDivision_003.st;0.78;0.04;0:00.43;188%;(0avgtext+0avgdata 83656maxresident)k;0inputs+72outputs;(0major+11473minor)pagefaults;0swaps
smteta_varDivision_004.st;0.77;0.04;0:00.42;193%;(0avgtext+0avgdata 80600maxresident)k;0inputs+72outputs;(0major+11223minor)pagefaults;0swaps
smteta_varDivision_005.st;0.82;0.03;0:00.43;197%;(0avgtext+0avgdata 84496maxresident)k;0inputs+72outputs;(0major+11634minor)pagefaults;0swaps
smteta_varDivision_006.st;0.81;0.06;0:00.47;187%;(0avgtext+0avgdata 83232maxresident)k;0inputs+72outputs;(0major+11922minor)pagefaults;0swaps
smteta_varDivision_007.st;0.85;0.02;0:00.45;196%;(0avgtext+0avgdata 84564maxresident)k;0inputs+104outputs;(0major+12274minor)pagefaults;0swaps
smteta_varDivision_008.st;0.86;0.05;0:00.48;190%;(0avgtext+0avgdata 85360maxresident)k;0inputs+72outputs;(0major+12132minor)pagefaults;0swaps
smteta_varDivision_009.st;0.88;0.04;0:00.46;203%;(0avgtext+0avgdata 85416maxresident)k;0inputs+72outputs;(0major+12215minor)pagefaults;0swaps
smteta_varDivision_010.st;0.90;0.06;0:00.48;200%;(0avgtext+0avgdata 81464maxresident)k;0inputs+80outputs;(0major+12830minor)pagefaults;0swaps
smteta_varDivision_011.st;0.88;0.05;0:00.47;196%;(0avgtext+0avgdata 82684maxresident)k;0inputs+80outputs;(0major+12390minor)pagefaults;0swaps
smteta_varDivision_012.st;0.85;0.05;0:00.45;200%;(0avgtext+0avgdata 83588maxresident)k;0inputs+80outputs;(0major+11958minor)pagefaults;0swaps
smteta_varDivision_013.st;0.85;0.06;0:00.46;199%;(0avgtext+0avgdata 82776maxresident)k;0inputs+176outputs;(0major+12278minor)pagefaults;0swaps
smteta_varDivision_014.st;0.83;0.05;0:00.46;193%;(0avgtext+0avgdata 83852maxresident)k;0inputs+80outputs;(0major+12114minor)pagefaults;0swaps
smteta_varDivision_015.st;0.89;0.04;0:00.46;201%;(0avgtext+0avgdata 81296maxresident)k;0inputs+80outputs;(0major+11935minor)pagefaults;0swaps
smteta_varDivision_016.st;0.86;0.05;0:00.45;204%;(0avgtext+0avgdata 80816maxresident)k;0inputs+80outputs;(0major+12407minor)pagefaults;0swaps
smteta_varDivision_017.st;0.84;0.04;0:00.46;192%;(0avgtext+0avgdata 82756maxresident)k;0inputs+80outputs;(0major+12134minor)pagefaults;0swaps
smteta_varDivision_018.st;0.85;0.03;0:00.46;193%;(0avgtext+0avgdata 82484maxresident)k;0inputs+80outputs;(0major+11724minor)pagefaults;0swaps
smteta_varDivision_019.st;0.84;0.04;0:00.45;194%;(0avgtext+0avgdata 80948maxresident)k;0inputs+80outputs;(0major+11239minor)pagefaults;0swaps
smteta_varDivision_020.st;0.90;0.05;0:00.47;203%;(0avgtext+0avgdata 81676maxresident)k;0inputs+80outputs;(0major+12008minor)pagefaults;0swaps
smteta_varDivision_021.st;0.98;0.04;0:00.49;208%;(0avgtext+0avgdata 85424maxresident)k;0inputs+80outputs;(0major+11836minor)pagefaults;0swaps
smteta_varDivision_022.st;0.90;0.04;0:00.47;201%;(0avgtext+0avgdata 84280maxresident)k;0inputs+80outputs;(0major+11690minor)pagefaults;0swaps
smteta_varDivision_023.st;0.96;0.04;0:00.47;211%;(0avgtext+0avgdata 81868maxresident)k;0inputs+112outputs;(0major+12808minor)pagefaults;0swaps
smteta_varDivision_024.st;0.94;0.04;0:00.47;207%;(0avgtext+0avgdata 82460maxresident)k;0inputs+80outputs;(0major+12176minor)pagefaults;0swaps
smteta_varDivision_025.st;0.91;0.06;0:00.46;208%;(0avgtext+0avgdata 85016maxresident)k;0inputs+88outputs;(0major+11882minor)pagefaults;0swaps
smteta_varDivision_026.st;0.93;0.02;0:00.47;203%;(0avgtext+0avgdata 84352maxresident)k;0inputs+88outputs;(0major+12219minor)pagefaults;0swaps
smteta_varDivision_027.st;0.99;0.03;0:00.46;220%;(0avgtext+0avgdata 81680maxresident)k;0inputs+88outputs;(0major+12093minor)pagefaults;0swaps
smteta_varDivision_028.st;0.88;0.06;0:00.46;201%;(0avgtext+0avgdata 80388maxresident)k;0inputs+88outputs;(0major+11740minor)pagefaults;0swaps
smteta_varDivision_029.st;0.92;0.03;0:00.47;201%;(0avgtext+0avgdata 79676maxresident)k;0inputs+88outputs;(0major+11143minor)pagefaults;0swaps
smteta_varDivision_030.st;0.95;0.05;0:00.46;216%;(0avgtext+0avgdata 84392maxresident)k;0inputs+88outputs;(0major+12624minor)pagefaults;0swaps
