identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_varyLength_001.st;0.87;0.07;0:00.59;160%;(0avgtext+0avgdata 84520maxresident)k;0inputs+168outputs;(0major+11902minor)pagefaults;0swaps
smteta_varyLength_002.st;0.77;0.07;0:00.45;184%;(0avgtext+0avgdata 80112maxresident)k;0inputs+72outputs;(0major+11052minor)pagefaults;0swaps
smteta_varyLength_003.st;0.82;0.06;0:00.43;203%;(0avgtext+0avgdata 80472maxresident)k;0inputs+72outputs;(0major+12764minor)pagefaults;0swaps
smteta_varyLength_004.st;0.81;0.02;0:00.43;191%;(0avgtext+0avgdata 82684maxresident)k;0inputs+72outputs;(0major+11361minor)pagefaults;0swaps
smteta_varyLength_005.st;0.84;0.03;0:00.43;205%;(0avgtext+0avgdata 84120maxresident)k;0inputs+72outputs;(0major+11929minor)pagefaults;0swaps
smteta_varyLength_006.st;0.79;0.03;0:00.43;193%;(0avgtext+0avgdata 80704maxresident)k;0inputs+72outputs;(0major+11748minor)pagefaults;0swaps
smteta_varyLength_007.st;0.85;0.05;0:00.45;200%;(0avgtext+0avgdata 81732maxresident)k;0inputs+72outputs;(0major+12287minor)pagefaults;0swaps
smteta_varyLength_008.st;0.87;0.03;0:00.44;203%;(0avgtext+0avgdata 83964maxresident)k;0inputs+72outputs;(0major+11694minor)pagefaults;0swaps
smteta_varyLength_009.st;0.91;0.05;0:00.50;194%;(0avgtext+0avgdata 84996maxresident)k;0inputs+72outputs;(0major+12020minor)pagefaults;0swaps
smteta_varyLength_010.st;0.79;0.07;0:00.45;191%;(0avgtext+0avgdata 82720maxresident)k;0inputs+72outputs;(0major+11733minor)pagefaults;0swaps
smteta_varyLength_011.st;0.83;0.04;0:00.45;192%;(0avgtext+0avgdata 83964maxresident)k;0inputs+104outputs;(0major+12119minor)pagefaults;0swaps
smteta_varyLength_012.st;0.84;0.03;0:00.45;193%;(0avgtext+0avgdata 83648maxresident)k;0inputs+80outputs;(0major+12061minor)pagefaults;0swaps
smteta_varyLength_013.st;0.91;0.03;0:00.46;206%;(0avgtext+0avgdata 83716maxresident)k;0inputs+80outputs;(0major+12801minor)pagefaults;0swaps
smteta_varyLength_014.st;0.89;0.04;0:00.47;196%;(0avgtext+0avgdata 82124maxresident)k;0inputs+80outputs;(0major+11518minor)pagefaults;0swaps
smteta_varyLength_015.st;0.90;0.05;0:00.46;205%;(0avgtext+0avgdata 83980maxresident)k;0inputs+80outputs;(0major+12412minor)pagefaults;0swaps
smteta_varyLength_016.st;0.84;0.06;0:00.46;196%;(0avgtext+0avgdata 80200maxresident)k;0inputs+80outputs;(0major+11650minor)pagefaults;0swaps
smteta_varyLength_017.st;0.93;0.02;0:00.48;200%;(0avgtext+0avgdata 83700maxresident)k;0inputs+80outputs;(0major+12116minor)pagefaults;0swaps
smteta_varyLength_018.st;0.91;0.03;0:00.47;201%;(0avgtext+0avgdata 84832maxresident)k;0inputs+80outputs;(0major+12452minor)pagefaults;0swaps
smteta_varyLength_019.st;0.94;0.04;0:00.47;209%;(0avgtext+0avgdata 83924maxresident)k;0inputs+80outputs;(0major+12691minor)pagefaults;0swaps
smteta_varyLength_020.st;0.88;0.02;0:00.46;195%;(0avgtext+0avgdata 82632maxresident)k;0inputs+80outputs;(0major+12109minor)pagefaults;0swaps
smteta_varyLength_021.st;0.92;0.06;0:00.51;191%;(0avgtext+0avgdata 83552maxresident)k;0inputs+80outputs;(0major+12077minor)pagefaults;0swaps
smteta_varyLength_022.st;0.87;0.04;0:00.46;196%;(0avgtext+0avgdata 81328maxresident)k;0inputs+80outputs;(0major+11875minor)pagefaults;0swaps
smteta_varyLength_023.st;0.97;0.06;0:00.50;206%;(0avgtext+0avgdata 87612maxresident)k;0inputs+80outputs;(0major+12291minor)pagefaults;0swaps
smteta_varyLength_024.st;0.92;0.02;0:00.47;200%;(0avgtext+0avgdata 85264maxresident)k;0inputs+80outputs;(0major+11920minor)pagefaults;0swaps
smteta_varyLength_025.st;0.95;0.05;0:00.47;210%;(0avgtext+0avgdata 83236maxresident)k;0inputs+80outputs;(0major+12452minor)pagefaults;0swaps
smteta_varyLength_026.st;0.87;0.06;0:00.47;200%;(0avgtext+0avgdata 79992maxresident)k;0inputs+80outputs;(0major+11657minor)pagefaults;0swaps
smteta_varyLength_027.st;0.92;0.03;0:00.47;201%;(0avgtext+0avgdata 84084maxresident)k;0inputs+88outputs;(0major+12140minor)pagefaults;0swaps
smteta_varyLength_028.st;0.98;0.03;0:00.48;212%;(0avgtext+0avgdata 82936maxresident)k;0inputs+88outputs;(0major+11756minor)pagefaults;0swaps
smteta_varyLength_029.st;0.97;0.06;0:00.48;214%;(0avgtext+0avgdata 80900maxresident)k;0inputs+88outputs;(0major+12373minor)pagefaults;0swaps
smteta_varyLength_030.st;0.96;0.05;0:00.48;210%;(0avgtext+0avgdata 82048maxresident)k;0inputs+88outputs;(0major+12822minor)pagefaults;0swaps
smteta_varyLength_031.st;1.01;0.06;0:00.53;202%;(0avgtext+0avgdata 83964maxresident)k;0inputs+88outputs;(0major+12565minor)pagefaults;0swaps
smteta_varyLength_032.st;0.98;0.05;0:00.52;198%;(0avgtext+0avgdata 85388maxresident)k;0inputs+88outputs;(0major+12569minor)pagefaults;0swaps
smteta_varyLength_033.st;0.99;0.04;0:00.48;213%;(0avgtext+0avgdata 87696maxresident)k;0inputs+88outputs;(0major+12202minor)pagefaults;0swaps
smteta_varyLength_034.st;0.97;0.04;0:00.48;208%;(0avgtext+0avgdata 87556maxresident)k;0inputs+120outputs;(0major+12534minor)pagefaults;0swaps
smteta_varyLength_035.st;0.97;0.04;0:00.48;208%;(0avgtext+0avgdata 85664maxresident)k;0inputs+88outputs;(0major+12550minor)pagefaults;0swaps
smteta_varyLength_036.st;1.01;0.03;0:00.49;214%;(0avgtext+0avgdata 89200maxresident)k;0inputs+88outputs;(0major+12594minor)pagefaults;0swaps
smteta_varyLength_037.st;0.99;0.04;0:00.48;213%;(0avgtext+0avgdata 84668maxresident)k;0inputs+88outputs;(0major+12737minor)pagefaults;0swaps
smteta_varyLength_038.st;1.00;0.04;0:00.49;213%;(0avgtext+0avgdata 84652maxresident)k;0inputs+88outputs;(0major+11970minor)pagefaults;0swaps
smteta_varyLength_039.st;0.94;0.07;0:00.49;206%;(0avgtext+0avgdata 87632maxresident)k;0inputs+88outputs;(0major+11981minor)pagefaults;0swaps
smteta_varyLength_040.st;1.03;0.08;0:00.54;204%;(0avgtext+0avgdata 86784maxresident)k;0inputs+88outputs;(0major+11745minor)pagefaults;0swaps
smteta_varyLength_041.st;1.03;0.07;0:00.53;205%;(0avgtext+0avgdata 86456maxresident)k;0inputs+88outputs;(0major+12135minor)pagefaults;0swaps
smteta_varyLength_042.st;1.00;0.04;0:00.49;210%;(0avgtext+0avgdata 85556maxresident)k;0inputs+96outputs;(0major+12016minor)pagefaults;0swaps
smteta_varyLength_043.st;0.98;0.06;0:00.50;209%;(0avgtext+0avgdata 89624maxresident)k;0inputs+96outputs;(0major+12460minor)pagefaults;0swaps
smteta_varyLength_044.st;0.97;0.06;0:00.49;209%;(0avgtext+0avgdata 86248maxresident)k;0inputs+96outputs;(0major+11570minor)pagefaults;0swaps
smteta_varyLength_045.st;1.06;0.06;0:00.54;205%;(0avgtext+0avgdata 87016maxresident)k;0inputs+128outputs;(0major+12583minor)pagefaults;0swaps
smteta_varyLength_046.st;0.96;0.04;0:00.49;201%;(0avgtext+0avgdata 86968maxresident)k;0inputs+96outputs;(0major+12398minor)pagefaults;0swaps
smteta_varyLength_047.st;1.07;0.03;0:00.50;217%;(0avgtext+0avgdata 86908maxresident)k;0inputs+96outputs;(0major+12949minor)pagefaults;0swaps
smteta_varyLength_048.st;1.05;0.05;0:00.50;219%;(0avgtext+0avgdata 86104maxresident)k;0inputs+96outputs;(0major+12843minor)pagefaults;0swaps
smteta_varyLength_049.st;1.01;0.05;0:00.50;209%;(0avgtext+0avgdata 83600maxresident)k;0inputs+96outputs;(0major+12010minor)pagefaults;0swaps
smteta_varyLength_050.st;1.01;0.07;0:00.51;213%;(0avgtext+0avgdata 88932maxresident)k;0inputs+96outputs;(0major+12482minor)pagefaults;0swaps
smteta_varyLength_051.st;1.02;0.03;0:00.50;209%;(0avgtext+0avgdata 86280maxresident)k;0inputs+96outputs;(0major+12608minor)pagefaults;0swaps
smteta_varyLength_052.st;0.99;0.06;0:00.50;209%;(0avgtext+0avgdata 88184maxresident)k;0inputs+96outputs;(0major+12040minor)pagefaults;0swaps
smteta_varyLength_053.st;1.01;0.05;0:00.49;214%;(0avgtext+0avgdata 84424maxresident)k;0inputs+96outputs;(0major+12158minor)pagefaults;0swaps
smteta_varyLength_054.st;1.04;0.06;0:00.50;220%;(0avgtext+0avgdata 86944maxresident)k;0inputs+96outputs;(0major+12020minor)pagefaults;0swaps
smteta_varyLength_055.st;1.08;0.04;0:00.52;216%;(0avgtext+0avgdata 86544maxresident)k;0inputs+128outputs;(0major+13192minor)pagefaults;0swaps
smteta_varyLength_056.st;1.07;0.05;0:00.51;220%;(0avgtext+0avgdata 86264maxresident)k;0inputs+96outputs;(0major+12193minor)pagefaults;0swaps
smteta_varyLength_057.st;1.05;0.02;0:00.50;215%;(0avgtext+0avgdata 86344maxresident)k;0inputs+104outputs;(0major+12186minor)pagefaults;0swaps
smteta_varyLength_058.st;1.08;0.04;0:00.54;207%;(0avgtext+0avgdata 87544maxresident)k;0inputs+104outputs;(0major+11951minor)pagefaults;0swaps
smteta_varyLength_059.st;1.14;0.05;0:00.51;230%;(0avgtext+0avgdata 87764maxresident)k;0inputs+104outputs;(0major+13102minor)pagefaults;0swaps
smteta_varyLength_060.st;1.10;0.06;0:00.52;221%;(0avgtext+0avgdata 84688maxresident)k;0inputs+104outputs;(0major+12896minor)pagefaults;0swaps
smteta_varyLength_061.st;1.04;0.04;0:00.50;216%;(0avgtext+0avgdata 85984maxresident)k;0inputs+104outputs;(0major+11541minor)pagefaults;0swaps
smteta_varyLength_062.st;1.04;0.05;0:00.51;211%;(0avgtext+0avgdata 85656maxresident)k;0inputs+104outputs;(0major+11902minor)pagefaults;0swaps
smteta_varyLength_063.st;1.03;0.07;0:00.51;213%;(0avgtext+0avgdata 87696maxresident)k;0inputs+104outputs;(0major+11955minor)pagefaults;0swaps
smteta_varyLength_064.st;1.08;0.05;0:00.55;206%;(0avgtext+0avgdata 86360maxresident)k;0inputs+136outputs;(0major+12181minor)pagefaults;0swaps
smteta_varyLength_065.st;1.10;0.04;0:00.52;218%;(0avgtext+0avgdata 89524maxresident)k;0inputs+104outputs;(0major+12223minor)pagefaults;0swaps
smteta_varyLength_066.st;1.04;0.05;0:00.51;215%;(0avgtext+0avgdata 83532maxresident)k;0inputs+104outputs;(0major+11895minor)pagefaults;0swaps
smteta_varyLength_067.st;1.09;0.03;0:00.52;214%;(0avgtext+0avgdata 89232maxresident)k;0inputs+104outputs;(0major+12029minor)pagefaults;0swaps
smteta_varyLength_068.st;1.11;0.03;0:00.52;217%;(0avgtext+0avgdata 85940maxresident)k;0inputs+104outputs;(0major+12031minor)pagefaults;0swaps
smteta_varyLength_069.st;1.11;0.03;0:00.52;217%;(0avgtext+0avgdata 88836maxresident)k;0inputs+104outputs;(0major+12298minor)pagefaults;0swaps
smteta_varyLength_070.st;1.13;0.05;0:00.53;222%;(0avgtext+0avgdata 93308maxresident)k;0inputs+104outputs;(0major+13786minor)pagefaults;0swaps
smteta_varyLength_071.st;1.16;0.03;0:00.53;225%;(0avgtext+0avgdata 89996maxresident)k;0inputs+104outputs;(0major+13025minor)pagefaults;0swaps
smteta_varyLength_072.st;1.05;0.05;0:00.52;211%;(0avgtext+0avgdata 85992maxresident)k;0inputs+112outputs;(0major+11565minor)pagefaults;0swaps
smteta_varyLength_073.st;1.03;0.08;0:00.53;210%;(0avgtext+0avgdata 87396maxresident)k;0inputs+112outputs;(0major+11869minor)pagefaults;0swaps
smteta_varyLength_074.st;1.05;0.06;0:00.52;212%;(0avgtext+0avgdata 91320maxresident)k;0inputs+144outputs;(0major+11930minor)pagefaults;0swaps
smteta_varyLength_075.st;1.06;0.06;0:00.53;211%;(0avgtext+0avgdata 85640maxresident)k;0inputs+112outputs;(0major+11522minor)pagefaults;0swaps
smteta_varyLength_076.st;1.13;0.08;0:00.56;214%;(0avgtext+0avgdata 82076maxresident)k;0inputs+112outputs;(0major+12452minor)pagefaults;0swaps
smteta_varyLength_077.st;1.07;0.06;0:00.53;212%;(0avgtext+0avgdata 87776maxresident)k;0inputs+112outputs;(0major+12546minor)pagefaults;0swaps
smteta_varyLength_078.st;1.20;0.06;0:00.53;238%;(0avgtext+0avgdata 93320maxresident)k;0inputs+112outputs;(0major+15177minor)pagefaults;0swaps
smteta_varyLength_079.st;1.06;0.06;0:00.53;211%;(0avgtext+0avgdata 85428maxresident)k;0inputs+112outputs;(0major+11451minor)pagefaults;0swaps
smteta_varyLength_080.st;1.08;0.06;0:00.53;215%;(0avgtext+0avgdata 87944maxresident)k;0inputs+112outputs;(0major+11636minor)pagefaults;0swaps
smteta_varyLength_081.st;1.20;0.05;0:00.58;216%;(0avgtext+0avgdata 93304maxresident)k;0inputs+112outputs;(0major+13780minor)pagefaults;0swaps
smteta_varyLength_082.st;1.24;0.07;0:00.55;238%;(0avgtext+0avgdata 97996maxresident)k;0inputs+208outputs;(0major+15754minor)pagefaults;0swaps
smteta_varyLength_083.st;1.30;0.06;0:00.54;249%;(0avgtext+0avgdata 98024maxresident)k;0inputs+112outputs;(0major+16883minor)pagefaults;0swaps
smteta_varyLength_084.st;1.23;0.06;0:00.58;221%;(0avgtext+0avgdata 93552maxresident)k;0inputs+112outputs;(0major+13558minor)pagefaults;0swaps
smteta_varyLength_085.st;1.22;0.03;0:00.54;233%;(0avgtext+0avgdata 91760maxresident)k;0inputs+112outputs;(0major+13422minor)pagefaults;0swaps
smteta_varyLength_086.st;1.17;0.06;0:00.54;225%;(0avgtext+0avgdata 95600maxresident)k;0inputs+112outputs;(0major+14080minor)pagefaults;0swaps
smteta_varyLength_087.st;1.22;0.06;0:00.55;234%;(0avgtext+0avgdata 94224maxresident)k;0inputs+120outputs;(0major+14774minor)pagefaults;0swaps
smteta_varyLength_088.st;1.19;0.09;0:00.58;221%;(0avgtext+0avgdata 95080maxresident)k;0inputs+120outputs;(0major+13229minor)pagefaults;0swaps
smteta_varyLength_089.st;1.14;0.06;0:00.53;223%;(0avgtext+0avgdata 90480maxresident)k;0inputs+120outputs;(0major+12781minor)pagefaults;0swaps
smteta_varyLength_090.st;1.13;0.02;0:00.53;215%;(0avgtext+0avgdata 88076maxresident)k;0inputs+120outputs;(0major+11640minor)pagefaults;0swaps
smteta_varyLength_091.st;1.29;0.03;0:00.54;243%;(0avgtext+0avgdata 92416maxresident)k;0inputs+120outputs;(0major+14435minor)pagefaults;0swaps
smteta_varyLength_092.st;1.18;0.05;0:00.54;226%;(0avgtext+0avgdata 95820maxresident)k;0inputs+120outputs;(0major+14267minor)pagefaults;0swaps
smteta_varyLength_093.st;1.22;0.05;0:00.54;231%;(0avgtext+0avgdata 94684maxresident)k;0inputs+120outputs;(0major+13129minor)pagefaults;0swaps
smteta_varyLength_094.st;1.14;0.05;0:00.54;219%;(0avgtext+0avgdata 89244maxresident)k;0inputs+120outputs;(0major+12874minor)pagefaults;0swaps
smteta_varyLength_095.st;1.27;0.06;0:00.59;224%;(0avgtext+0avgdata 91040maxresident)k;0inputs+120outputs;(0major+13976minor)pagefaults;0swaps
smteta_varyLength_096.st;1.23;0.04;0:00.54;232%;(0avgtext+0avgdata 90952maxresident)k;0inputs+120outputs;(0major+13211minor)pagefaults;0swaps
smteta_varyLength_097.st;1.33;0.06;0:00.56;250%;(0avgtext+0avgdata 101472maxresident)k;0inputs+120outputs;(0major+16819minor)pagefaults;0swaps
smteta_varyLength_098.st;1.16;0.07;0:00.55;223%;(0avgtext+0avgdata 90044maxresident)k;0inputs+120outputs;(0major+12282minor)pagefaults;0swaps
smteta_varyLength_099.st;1.14;0.05;0:00.55;217%;(0avgtext+0avgdata 91328maxresident)k;0inputs+120outputs;(0major+12158minor)pagefaults;0swaps
smteta_varyLength_100.st;1.42;0.03;0:00.56;256%;(0avgtext+0avgdata 101208maxresident)k;0inputs+120outputs;(0major+16254minor)pagefaults;0swaps
