identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
smteta_MinMax_Minimal_0001.gtt;1.17;0.05;0:00.54;227%;(0avgtext+0avgdata 119020maxresident)k;0inputs+80outputs;(0major+21296minor)pagefaults;0swaps
smteta_MinMax_Minimal_0002.gtt;1.12;0.06;0:00.52;228%;(0avgtext+0avgdata 109380maxresident)k;0inputs+80outputs;(0major+19469minor)pagefaults;0swaps
smteta_MinMax_Minimal_0003.gtt;1.12;0.05;0:00.52;224%;(0avgtext+0avgdata 110296maxresident)k;0inputs+80outputs;(0major+21695minor)pagefaults;0swaps
smteta_MinMax_Minimal_0004.gtt;1.18;0.04;0:00.53;231%;(0avgtext+0avgdata 109584maxresident)k;0inputs+80outputs;(0major+20886minor)pagefaults;0swaps
smteta_MinMax_Minimal_0005.gtt;1.14;0.06;0:00.52;228%;(0avgtext+0avgdata 116512maxresident)k;0inputs+80outputs;(0major+22294minor)pagefaults;0swaps
smteta_MinMax_Minimal_0010.gtt;1.15;0.01;0:00.51;226%;(0avgtext+0avgdata 112672maxresident)k;0inputs+80outputs;(0major+19321minor)pagefaults;0swaps
smteta_MinMax_Minimal_0015.gtt;1.17;0.04;0:00.54;222%;(0avgtext+0avgdata 120400maxresident)k;0inputs+176outputs;(0major+22077minor)pagefaults;0swaps
smteta_MinMax_Minimal_0020.gtt;1.15;0.04;0:00.52;227%;(0avgtext+0avgdata 109272maxresident)k;0inputs+80outputs;(0major+19264minor)pagefaults;0swaps
smteta_MinMax_Minimal_0025.gtt;1.13;0.03;0:00.52;224%;(0avgtext+0avgdata 111416maxresident)k;0inputs+80outputs;(0major+19571minor)pagefaults;0swaps
smteta_MinMax_Minimal_0050.gtt;1.09;0.07;0:00.52;223%;(0avgtext+0avgdata 122632maxresident)k;0inputs+80outputs;(0major+21681minor)pagefaults;0swaps
smteta_MinMax_Minimal_0075.gtt;1.16;0.05;0:00.53;230%;(0avgtext+0avgdata 119928maxresident)k;0inputs+80outputs;(0major+22641minor)pagefaults;0swaps
smteta_MinMax_Minimal_0100.gtt;1.14;0.03;0:00.52;225%;(0avgtext+0avgdata 110008maxresident)k;0inputs+80outputs;(0major+19900minor)pagefaults;0swaps
smteta_MinMax_Minimal_0200.gtt;1.20;0.03;0:00.54;226%;(0avgtext+0avgdata 107012maxresident)k;0inputs+80outputs;(0major+21282minor)pagefaults;0swaps
smteta_MinMax_Minimal_0300.gtt;1.10;0.04;0:00.51;221%;(0avgtext+0avgdata 95952maxresident)k;0inputs+80outputs;(0major+16781minor)pagefaults;0swaps
smteta_MinMax_Minimal_0400.gtt;1.17;0.04;0:00.53;228%;(0avgtext+0avgdata 107764maxresident)k;0inputs+80outputs;(0major+21450minor)pagefaults;0swaps
smteta_MinMax_Minimal_0500.gtt;1.16;0.05;0:00.54;224%;(0avgtext+0avgdata 118804maxresident)k;0inputs+80outputs;(0major+22257minor)pagefaults;0swaps
smteta_MinMax_Minimal_1000.gtt;1.14;0.05;0:00.53;223%;(0avgtext+0avgdata 117316maxresident)k;0inputs+80outputs;(0major+21450minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0001.hcc;43.08;0.51;0:14.72;296%;(0avgtext+0avgdata 550188maxresident)k;0inputs+64outputs;(0major+53565minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0002.hcc;46.53;0.51;0:15.42;304%;(0avgtext+0avgdata 567096maxresident)k;0inputs+160outputs;(0major+46458minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0003.hcc;41.97;0.51;0:14.17;299%;(0avgtext+0avgdata 456744maxresident)k;0inputs+64outputs;(0major+51165minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0004.hcc;40.47;0.53;0:13.99;293%;(0avgtext+0avgdata 470864maxresident)k;0inputs+96outputs;(0major+59680minor)pagefaults;0swaps
eld-math_t_MinMax_Minimal_0005.hcc;46.79;0.45;0:15.51;304%;(0avgtext+0avgdata 486952maxresident)k;0inputs+96outputs;(0major+61215minor)pagefaults;0swaps
