identifier;user;system;elapsed;CPU;other Stats;other Stats;other Stats;other Stats
nuXmv_constAddition_001.st;0.98;0.07;0:01.09;96%;(0avgtext+0avgdata 86804maxresident)k;2496inputs+112outputs;(0major+13356minor)pagefaults;0swaps
nuXmv_constAddition_002.st;0.92;0.10;0:00.55;185%;(0avgtext+0avgdata 89948maxresident)k;0inputs+80outputs;(0major+13051minor)pagefaults;0swaps
nuXmv_constAddition_003.st;0.93;0.08;0:00.51;195%;(0avgtext+0avgdata 87796maxresident)k;0inputs+80outputs;(0major+13335minor)pagefaults;0swaps
nuXmv_constAddition_004.st;0.92;0.05;0:00.48;202%;(0avgtext+0avgdata 85436maxresident)k;0inputs+80outputs;(0major+13131minor)pagefaults;0swaps
nuXmv_constAddition_005.st;0.92;0.05;0:00.49;197%;(0avgtext+0avgdata 88344maxresident)k;0inputs+80outputs;(0major+13072minor)pagefaults;0swaps
nuXmv_constAddition_006.st;0.94;0.08;0:00.54;187%;(0avgtext+0avgdata 83760maxresident)k;0inputs+80outputs;(0major+13634minor)pagefaults;0swaps
nuXmv_constAddition_007.st;0.93;0.05;0:00.49;200%;(0avgtext+0avgdata 86472maxresident)k;0inputs+80outputs;(0major+13559minor)pagefaults;0swaps
nuXmv_constAddition_008.st;0.95;0.03;0:00.50;196%;(0avgtext+0avgdata 87644maxresident)k;0inputs+80outputs;(0major+13928minor)pagefaults;0swaps
nuXmv_constAddition_009.st;0.96;0.06;0:00.49;206%;(0avgtext+0avgdata 87936maxresident)k;0inputs+80outputs;(0major+13522minor)pagefaults;0swaps
nuXmv_constAddition_010.st;0.95;0.06;0:00.50;204%;(0avgtext+0avgdata 86704maxresident)k;0inputs+80outputs;(0major+13493minor)pagefaults;0swaps
nuXmv_constAddition_011.st;0.95;0.06;0:00.50;203%;(0avgtext+0avgdata 84892maxresident)k;0inputs+88outputs;(0major+13638minor)pagefaults;0swaps
nuXmv_constAddition_012.st;0.97;0.07;0:00.50;206%;(0avgtext+0avgdata 87016maxresident)k;0inputs+88outputs;(0major+13887minor)pagefaults;0swaps
nuXmv_constAddition_013.st;0.98;0.05;0:00.50;207%;(0avgtext+0avgdata 87896maxresident)k;0inputs+88outputs;(0major+13800minor)pagefaults;0swaps
nuXmv_constAddition_014.st;1.01;0.02;0:00.51;200%;(0avgtext+0avgdata 88432maxresident)k;0inputs+88outputs;(0major+13695minor)pagefaults;0swaps
nuXmv_constAddition_015.st;0.95;0.07;0:00.50;203%;(0avgtext+0avgdata 88476maxresident)k;0inputs+88outputs;(0major+13553minor)pagefaults;0swaps
nuXmv_constAddition_016.st;1.01;0.05;0:00.50;211%;(0avgtext+0avgdata 86848maxresident)k;0inputs+88outputs;(0major+13102minor)pagefaults;0swaps
nuXmv_constAddition_017.st;1.04;0.02;0:00.51;207%;(0avgtext+0avgdata 87956maxresident)k;0inputs+88outputs;(0major+13685minor)pagefaults;0swaps
nuXmv_constAddition_018.st;1.01;0.05;0:00.51;207%;(0avgtext+0avgdata 88976maxresident)k;0inputs+88outputs;(0major+13425minor)pagefaults;0swaps
nuXmv_constAddition_019.st;1.00;0.05;0:00.52;202%;(0avgtext+0avgdata 86904maxresident)k;0inputs+88outputs;(0major+13776minor)pagefaults;0swaps
nuXmv_constAddition_020.st;0.97;0.07;0:00.51;203%;(0avgtext+0avgdata 84288maxresident)k;0inputs+88outputs;(0major+13283minor)pagefaults;0swaps
nuXmv_constAddition_021.st;1.02;0.05;0:00.51;210%;(0avgtext+0avgdata 87696maxresident)k;0inputs+88outputs;(0major+13010minor)pagefaults;0swaps
nuXmv_constAddition_022.st;1.08;0.05;0:00.55;205%;(0avgtext+0avgdata 88480maxresident)k;0inputs+88outputs;(0major+14106minor)pagefaults;0swaps
nuXmv_constAddition_023.st;1.04;0.03;0:00.52;205%;(0avgtext+0avgdata 88648maxresident)k;0inputs+88outputs;(0major+13860minor)pagefaults;0swaps
nuXmv_constAddition_024.st;1.01;0.07;0:00.52;204%;(0avgtext+0avgdata 87588maxresident)k;0inputs+88outputs;(0major+13681minor)pagefaults;0swaps
nuXmv_constAddition_025.st;1.09;0.06;0:00.55;205%;(0avgtext+0avgdata 89144maxresident)k;0inputs+88outputs;(0major+13406minor)pagefaults;0swaps
nuXmv_constAddition_026.st;1.06;0.05;0:00.52;212%;(0avgtext+0avgdata 86936maxresident)k;0inputs+88outputs;(0major+13365minor)pagefaults;0swaps
nuXmv_constAddition_027.st;1.07;0.05;0:00.52;213%;(0avgtext+0avgdata 89048maxresident)k;0inputs+88outputs;(0major+13060minor)pagefaults;0swaps
nuXmv_constAddition_028.st;1.06;0.07;0:00.53;214%;(0avgtext+0avgdata 90288maxresident)k;0inputs+88outputs;(0major+13629minor)pagefaults;0swaps
nuXmv_constAddition_029.st;1.04;0.09;0:00.52;216%;(0avgtext+0avgdata 89352maxresident)k;0inputs+88outputs;(0major+13383minor)pagefaults;0swaps
nuXmv_constAddition_030.st;1.06;0.05;0:00.52;213%;(0avgtext+0avgdata 86900maxresident)k;0inputs+152outputs;(0major+13511minor)pagefaults;0swaps
nuXmv_constAddition_031.st;1.08;0.05;0:00.53;213%;(0avgtext+0avgdata 85996maxresident)k;0inputs+96outputs;(0major+14373minor)pagefaults;0swaps
nuXmv_constAddition_032.st;1.09;0.05;0:00.53;216%;(0avgtext+0avgdata 91944maxresident)k;0inputs+96outputs;(0major+13619minor)pagefaults;0swaps
nuXmv_constAddition_033.st;1.07;0.06;0:00.53;214%;(0avgtext+0avgdata 89520maxresident)k;0inputs+96outputs;(0major+13908minor)pagefaults;0swaps
nuXmv_constAddition_034.st;1.11;0.05;0:00.52;221%;(0avgtext+0avgdata 92400maxresident)k;0inputs+96outputs;(0major+13424minor)pagefaults;0swaps
nuXmv_constAddition_035.st;1.14;0.06;0:00.53;226%;(0avgtext+0avgdata 91472maxresident)k;0inputs+96outputs;(0major+14454minor)pagefaults;0swaps
nuXmv_constAddition_036.st;1.12;0.05;0:00.53;222%;(0avgtext+0avgdata 88700maxresident)k;0inputs+96outputs;(0major+13761minor)pagefaults;0swaps
nuXmv_constAddition_037.st;1.11;0.05;0:00.54;214%;(0avgtext+0avgdata 90568maxresident)k;0inputs+96outputs;(0major+12962minor)pagefaults;0swaps
nuXmv_constAddition_038.st;1.20;0.05;0:00.57;220%;(0avgtext+0avgdata 93456maxresident)k;0inputs+96outputs;(0major+14939minor)pagefaults;0swaps
nuXmv_constAddition_039.st;1.19;0.07;0:00.54;235%;(0avgtext+0avgdata 98812maxresident)k;0inputs+96outputs;(0major+16406minor)pagefaults;0swaps
nuXmv_constAddition_040.st;1.17;0.01;0:00.53;221%;(0avgtext+0avgdata 90816maxresident)k;0inputs+96outputs;(0major+13295minor)pagefaults;0swaps
nuXmv_constAddition_041.st;1.21;0.06;0:00.54;233%;(0avgtext+0avgdata 94104maxresident)k;0inputs+96outputs;(0major+16524minor)pagefaults;0swaps
